study_accession	has_paper	host_ena_referenced	host_ena_value	host_title_referenced	host_title_value	host_abstract_referenced	host_abstract_value	is_model_organism	model_organism_disease	human_by_biome_label	host_source_summary	host_source_note	sample_host_pattern	n_host_populated	biome_labels
PRJEB82952	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	chicken gut metagenome
PRJEB83251	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	26	
PRJEB83610	True	True	Capra	True	goat	True	goat	False		False	ENA + paper	Shotgun metagenomics of gut microbiome from Tanzanian goats in road-exposed and rural settings.	UNIFORM	34	
PRJEB84467	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	chicken gut metagenome
PRJEB86012	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
PRJEB86255	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	720	gut metagenome
PRJEB86258	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	2611	gut metagenome
PRJEB86259	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	100	
PRJEB86260	False	True	Meleagris gallopavo	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	1418	gut metagenome
PRJEB86261	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	1128	gut metagenome
PRJEB86262	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	432	gut metagenome
PRJEB88012	True	False		True	chicken	True	chicken	False		False	paper only	Metagenomics samples were sequenced from the caeca and large intestine of commercial chickens.	NO_HOST_DATA	0	metagenome
PRJEB88111	True	True	Sus scrofa	True	pig	True	pig	False		False	ENA + paper	Metagenomic sequencing was performed directly on faecal samples collected from diarrhoeal and healthy pigs.	UNIFORM	108	Clostridium perfringens; Escherichia coli; Sus scrofa
PRJEB88329	False	True	Mus musculus; mixed DNA library	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM_WITH_GAPS	14	Mus musculus; mixed DNA library; mouse gut metagenome
PRJEB88878	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	83	mouse gut metagenome
PRJEB89232	False	True	Sus scrofa domesticus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	28	
PRJEB89408	True	True	Trichosurus vulpecula	True	marsupial	True	marsupial (23 Diprotodontia species)	False		False	ENA + paper	Faecal samples were sequenced from 23 marsupial species; the samples came directly from these animals.	DIVERSE	117	Dactylopsila trivirgata; Dendrolagus lumholtzi; Lasiorhinus latifrons; Macropus giganteus; Notamacropus agilis; Notamacropus parma; Notamacropus rufogriseus; Onychogalea unguifera; Osphranter rufus; Petauroides volans; Petaurus australis; Petaurus gracilis; Petaurus norfolcensis; Phascolarctos cinereus; Pseudocheirus peregrinus; Pseudochirops archeri; Pseudochirulus herbertensis; Thylogale stigmatica; Trichosurus caninus; Trichosurus cunninghami
PRJEB89425	True	False		True	Indri indri	True	Indri indri	False		False	paper only	Fecal samples were collected from 22 Indri indri lemurs (18 newly sequenced) for metagenomic analysis.	NO_HOST_DATA	0	metagenome
PRJEB89830	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	mouse gut metagenome
PRJEB90218	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	272	
PRJEB90470	True	True	Mus musculus	True	mice	True	mouse (model of insulin resistance)	True	insulin resistance	False	ENA + paper	[model of insulin resistance] Metagenomic and metabolomic sequencing was performed on fecal samples from C57BL/6J male mice fed a high-fat diet to establish an insulin resistance model.	UNIFORM	6	Mus musculus
PRJEB9357	True	True	Felis catus	True	feline	True	kittens	False		False	ENA + paper	Faecal samples from kittens at three timepoints during growth were shotgun sequenced.	UNIFORM	88	Felis catus
PRJEB9403	False	True	Amycolatopsis mediterranei U32; Aplysiopsis enteromorphae; Arum byzantinum; Arum euxinum; Arum jacquemontii; Arum lucanum; Arum palaestinum; Ascidonia miserabilis; Bosellia sp. PJK-2010; Caliphylla mediterranea; Caliphylla viridis; Chungangia sp. CAU 8465; Elysia stylifera; Ercolania boodleae; Ercolania felina; Ercolania fuscata; Ercolania sp. PJK-2010; Euonymus macropterus; Euonymus sachalinensis; Exhippolysmata ensirostris; Hermaea bifida; Hermaea cruciata; Homo sapiens; Influenza A virus (A/Anhui-Baohe/1351/2009(H1N1)); Influenza A virus (A/Anhui-Baohe/1392/2009(H1N1)); Influenza A virus (A/Beijing-Huairou/1264/2009(H1N1)); Influenza A virus (A/Beijing-Xuanwu/141/2009(H1N1)); Influenza A virus (A/Fujian-Cangshan/1120/2009(H1N1)); Influenza A virus (A/Fujian-Gulou/1333/2009(H1N1)); Influenza A virus (A/Fujian-Gulou/1482/2009(H1N1)); Influenza A virus (A/Fujian-Gulou/1896/2009(H1N1)); Influenza A virus (A/Fujian-Shishi/51/2009(H1N1)); Influenza A virus (A/Guangdong-Futian/174/2009(H1N1)); Influenza A virus (A/Guangdong-Jinping/2138/2009(H1N1)); Influenza A virus (A/Guangdong-Maonan/51/2009(H1N1)); Influenza A virus (A/Guangdong-Xuwen/313/2009(H1N1)); Influenza A virus (A/Guangdong-Yuncheng/1193/2009(H1N1)); Influenza A virus (A/Guangdong-Yuncheng/1512/2009(H1N1)); Influenza A virus (A/Guangxi-Qingxiu/1250/2009(H1N1)); Influenza A virus (A/Hebei-Xinshi/117/2009(H1N1)); Influenza A virus (A/Heilongjiang-Daoli/112/2009(H1N1)); Influenza A virus (A/Heilongjiang-Hailin/15/2009(H1N1)); Influenza A virus (A/Heilongjiang-Nangang/1110/2009(H1N1)); Influenza A virus (A/Heilongjiang-Xiangfang/169/2009(H1N1)); Influenza A virus (A/Henan-Jinshui/125/2009(H1N1)); Influenza A virus (A/Henan-Jinshui/51/2009(H1N1)); Influenza A virus (A/Henan-Xigong/18/2009(H1N1)); Influenza A virus (A/Henan-Zhongyuan/111/2009(H1N1)); Influenza A virus (A/Huairou/620/2009(H1N1)); Influenza A virus (A/Hubei-Jiangan/117/2009(H1N1)); Influenza A virus (A/Hubei-Xiangcheng/312/2009(H1N1)); Influenza A virus (A/Hubei-Yidu/314/2009(H1N1)); Influenza A virus (A/Hunan-Beihu/1237/2009(H1N1)); Influenza A virus (A/Hunan-Furong/112/2009(H1N1)); Influenza A virus (A/Hunan-Leiyang/39/2009(H1N1)); Influenza A virus (A/Hunan-Louxing/322/2009(H1N1)); Influenza A virus (A/Hunan-Qiyang/34/2009(H1N1)); Influenza A virus (A/Hunan-Wuling/1120/2009(H1N1)); Influenza A virus (A/Hunan-Yuelu/310/2009(H1N1)); Influenza A virus (A/Hunan-Yuelu/32/2009(H1N1)); Influenza A virus (A/Hunan-Yuelu/37/2009(H1N1)); Influenza A virus (A/Hunan-Yueyanglou/317/2009(H1N1)); Influenza A virus (A/Jiangsu-Gulou/11/2009(H1N1)); Influenza A virus (A/Jiangsu-Gulou/110/2009(H1N1)); Influenza A virus (A/Jiangxi-Yuanzhou/1119/2009(H1N1)); Influenza A virus (A/Jiangxi-Yuanzhou/14/2009(H1N1)); Influenza A virus (A/Jiangxi-Zhanggong/118/2009(H1N1)); Influenza A virus (A/Jilin-Chaoyang/111/2009(H1N1)); Influenza A virus (A/Jilin-Chuanying/121/2009(H1N1)); Influenza A virus (A/Jilin-Chuanying/163/2009(H1N1)); Influenza A virus (A/Lanzhou/121/2009(H1N1)); Influenza A virus (A/Liaoning-Heping/146/2009(H1N1)); Influenza A virus (A/Liaoning-Tiedong/14/2009(H1N1)); Influenza A virus (A/Liaoning-Zhenxing/1117/2009(H1N1)); Influenza A virus (A/Liaoning-Zhenxing/175/2009(H1N1)); Influenza A virus (A/Ningxia-Xingqing/233/2009(H1N1)); Influenza A virus (A/Ningxia-Zhongning/17/2009(H1N1)); Influenza A virus (A/Shandong-HuaiYin/11/2009(H1N1)); Influenza A virus (A/Shandong-HuaiYin/1106/2009(H1N1)); Influenza A virus (A/Shandong-HuaiYin/148/2009(H1N1)); Influenza A virus (A/Shandong-HuaiYin/162/2009(H1N1)); Influenza A virus (A/Shandong-HuaiYin/19/2009(H1N1)); Influenza A virus (A/Shandong-Taishan/126/2009(H1N1)); Influenza A virus (A/Shanghai-Nanhui/1128/2009(H1N1)); Influenza A virus (A/Shanxi-Taigu/118/2009(H1N1)); Influenza A virus (A/Sichuan-Anyue/154/2009(H1N1)); Influenza A virus (A/Sichuan-Longmatan/515/2009(H1N1)); Influenza A virus (A/Sichuan-Wuhou/51/2009(H1N1)); Influenza A virus (A/Tianjin-Jinnan/15/2009(H1N1)); Influenza A virus (A/Xinjiang-Hutubi/11/2009(H1N1)); Influenza A virus (A/Zhejiang-Haishu/1305/2009(H1N1)); Limnospira maxima KMMCC CY-049; Limnospira maxima UTEX LB 2342; Limnospira platensis KMMCC CY-007; Lysmata argentopunctata; Lysmata cf. boggessi JAB-2010; Lysmata cf. intermedia JAB-2010; Lysmata vittata; Merguia oligodon; Merhippolyte ancistrota; Palaemon floridanum; Placida kingstoni; Placida verticillata; Pontonia domestica; Pontonia mexicana; Prunus carduchorum; Prunus fenzliana; Prunus haussknechtii; Prunus korshinskyi; Prunus nairica; Prunus scoparia; Prunus spartioides; Prunus x keredjensis; Pupa nitidula; Salix canariensis; Salmonella enterica subsp. enterica serovar Montevideo str. 30077; Salmonella enterica subsp. enterica serovar Montevideo str. 50079; Salmonella enterica subsp. enterica serovar Montevideo str. 50080; Salmonella enterica subsp. enterica serovar Montevideo str. 50262; Salmonella enterica subsp. enterica serovar Montevideo str. 50270; Salmonella enterica subsp. enterica serovar Montevideo str. ATCC BAA710; Salmonella enterica subsp. enterica serovar Montevideo str. CASC_09SCPH15965; Salmonella enterica subsp. enterica serovar Montevideo str. LQC 10; Salmonella enterica subsp. enterica serovar Montevideo str. NC_MB110209-0054; Salmonella enterica subsp. enterica serovar Montevideo str. OH_2009072675; Salmonella enterica subsp. enterica serovar Montevideo str. SAL0145; Salmonella enterica subsp. enterica serovar Montevideo str. SARB30; Salmonella enterica subsp. enterica serovar Montevideo str. SARB31; Salmonella enterica subsp. enterica serovar Senftenberg str. 316235162; Salmonella enterica subsp. enterica serovar Senftenberg str. 361154004; Salmonella enterica subsp. enterica serovar Senftenberg str. 423984-1; Salmonella enterica subsp. enterica serovar Senftenberg str. 423984-2; Salmonella enterica subsp. enterica serovar Senftenberg str. NC_MB012510-0038; Salmonella enterica subsp. enterica serovar Senftenberg str. WA_14508; Salmonella enterica subsp. enterica serovar Tennessee str. 4083; Salmonella enterica subsp. enterica serovar Tennessee str. 4535; Salmonella enterica subsp. enterica serovar Tennessee str. 54; Taenia arctos; uncultured Breviata; unidentified	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE_AND_SPARSE	787	
PRJEB96078	False	True	Mus musculus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	167	metagenome; mouse gut metagenome
PRJEB97391	False	True	mixed DNA library	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM_WITH_GAPS	9	mixed DNA library; mouse gut metagenome
PRJNA1000214	False	True	Wenchang Chicken	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	16	
PRJNA1002411	False	True	Bos taurus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	140	
PRJNA1003305	True	True	Mice	False		True	mouse (model of gut microbiota-brain function interaction)	True	gut microbiota-related brain dysfunction	False	ENA + paper	[model of gut microbiota-related brain dysfunction] Metagenomic analysis was performed on feces from SPF mice, and succinylome analysis on hippocampal proteins from germ-free and SPF mice.	UNIFORM	6	mouse gut metagenome
PRJNA1006089	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJNA1006316	True	True	Apis mellifera	True	honey bee	True	Apis mellifera	False		False	ENA + paper	Metagenomic sequencing was performed on gut samples collected from Western honey bees (Apis mellifera) exposed to neonicotinoid insecticides.	UNIFORM	350	bee metagenome
PRJNA1008639	False	True	mouse_1;mouse 1	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE	5	
PRJNA1009258	True	True	Homo sapiens	True	pediatric patients with acute lymphoblastic leukemia	True	pediatric patients with acute lymphoblastic leukemia	False		False	ENA + paper	Metagenomic sequencing was performed on gut samples from pediatric ALL patients undergoing HSCT, collected at three timepoints pre- and post-transplantation.	UNIFORM	61	human gut metagenome
PRJNA1010388	True	True	Mus musculus	True	mice	True	mouse (model of psoriasis-like inflammation)	True	psoriasis-like inflammation	False	ENA + paper	[model of psoriasis-like inflammation] Fecal metagenomic sequencing was performed on imiquimod-treated C57BL/6 mice.	UNIFORM	109	metagenome
PRJNA1010706	True	True	Sus scrofa	True	pig	True	pig	False		False	ENA + paper	Metagenomics samples came from fecal material collected from 210 piglets at an experimental farm across four sampling timepoints.	UNIFORM	419	pig gut metagenome
PRJNA1011201	False	True	Gallus gallus domesticus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	6	chicken gut metagenome
PRJNA1011357	False	True	Cyprinus carpio	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	10	fish gut metagenome
PRJNA1012496	True	False		True	mouse (model of coronary heart disease)	True	mouse (model of coronary heart disease)	True	coronary heart disease	False	paper only	[model of coronary heart disease] Viral metagenomics sequences were obtained from fecal/intestinal samples of mice in a high-fat diet-induced coronary heart disease model with surgical ligation.	NO_HOST_DATA	0	mouse gut metagenome
PRJNA1014131	False	True	Manis javanica	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE	16	feces metagenome
PRJNA1017798	False	True	Ochotona curzoniae	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	24	feces metagenome
PRJNA1023249	False	True	Capra hircus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM_WITH_GAPS	2	anaerobic digester metagenome; feces metagenome
PRJNA1023964	False	True	Ictiobus bubalus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE_AND_SPARSE	22	fish gut metagenome; freshwater metagenome; wastewater metagenome
PRJNA1025260	True	True	Mus musculus	False		True	mouse (model of colorectal cancer)	True	colorectal cancer	False	ENA + paper	[model of colorectal cancer] Metagenomic sequencing was performed on genetically modified Apc-driven mouse models of colorectal cancer with disrupted circadian clocks.	UNIFORM	35	Mus musculus
PRJNA1026073	True	True	Plutella xylostella	True	Plutella xylostella	True	Plutella xylostella	False		False	ENA + paper	The sequenced samples of Enterobacter hormaechei were isolated from the gut of Plutella xylostella (diamondback moth).	UNIFORM	1	Enterobacter sp. JJBC
PRJNA1026631	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	83	
PRJNA1026909	True	True	Mus musculus	False		True	mouse (model of dietary protein effects on gut microbiota)	True	dietary protein effects on gut microbiota/metabolic health	False	ENA + paper	[model of dietary protein effects on gut microbiota/metabolic health] Metagenomics-metaproteomics sequencing was performed on gut microbiota samples from mice fed seven different dietary protein sources.	UNIFORM	4	mouse gut metagenome
PRJNA1027632	False	True	Gallus gallus subsp domesticus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	197	chicken gut metagenome
PRJNA1028770	False	True	mouse	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	16	feces metagenome
PRJNA1029302	True	True	Kyphosus sydneyanus	True	ruminant	True	ruminant	False		False	ENA + paper	Metagenomic samples were sequenced directly from ruminant gastrointestinal tract (feces and rumen).	UNIFORM	39	fish gut metagenome
PRJNA1030894	False	True	Ochotona curzoniae	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	100	
PRJNA1030990	True	True	mouse	True	mice	True	mice	False		False	ENA + paper	Metagenomic sequencing was performed on intestinal microbiota samples from mice orally administered folpet.	UNIFORM	28	mouse gut metagenome
PRJNA1031251	True	False		True	Jianghan chicken	True	Jianghan chicken	False		False	paper only	Metagenomic samples were sequenced directly from the gut microbiota of Jianghan chickens, a native chicken breed.	NO_HOST_DATA	0	gut metagenome
PRJNA1031700	True	True	Mus musculus	False		True	mouse (model of colitis)	True	colitis	False	ENA + paper	[model of colitis] Metagenomic sequencing was performed on fecal samples from DSS-induced colitis mice with antibiotic exposure.	UNIFORM	32	mouse gut metagenome
PRJNA1033630	True	True	Apis mellifera	True	honey bee (Apis mellifera)	True	honey bee (Apis mellifera)	False		False	ENA + paper	Metagenomic sequences were directly from gut samples of honey bees collected near and far from crops across Canada.		0	bee metagenome
PRJNA1036300	False	True	mouse	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	18	
PRJNA1036376	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	70	chicken gut metagenome
PRJNA1039141	True	True	Sus scrofa	True	free-range pigs	True	pigs	False		False	ENA + paper	Metagenomic sequencing was performed on fecal samples from 120 free-range pigs across four provinces in China.	UNIFORM	120	
PRJNA1039992	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	120	chicken gut metagenome
PRJNA1040965	True	True	C57/BL6	False		True	mouse (model of colitis)	True	colitis	False	ENA + paper	[model of colitis] Metagenomics samples were sequenced from mice in a DSS-induced colitis model, not from human subjects.	UNIFORM	20	mouse gut metagenome
PRJNA1043846	True	True	Clanis bilineata	True	Clanis bilineata tsingtauica	True	Clanis bilineata tsingtauica	False		False	ENA + paper	Metagenomics sequencing was performed on gut samples from diapause larvae of the soybean hawkmoth Clanis bilineata tsingtauica.	UNIFORM	9	insect metagenome
PRJNA1044797	True	True	Bombus impatiens	True	bumble bee	True	bumble bee (Bombus impatiens and three other wild bumble bee species)	False		False	ENA + paper	Metagenomic sequencing was performed on gut samples from commercial and wild bumble bee colonies of multiple species.	DIVERSE	39	insect metagenome
PRJNA1046219	False	True	feces; freshwater; soil	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	8	feces metagenome; freshwater metagenome; soil metagenome
PRJNA1047964	False	True	Ovis aries	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	14	feces metagenome
PRJNA1049198	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	90	
PRJNA1049576	True	True	Rattus norvegicus	False		True	rat (model of sleep deprivation-induced anxiety)	True	sleep deprivation-induced anxiety	False	ENA + paper	[model of sleep deprivation-induced anxiety] Metagenomic sequencing was conducted on fecal samples from rats subjected to 7 days of sleep deprivation.	UNIFORM	28	rat metagenome
PRJNA1049649	False	True	Harpadon nehereus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE_AND_SPARSE	3	fish gut metagenome
PRJNA1050241	True	True	Gallus gallus	True	chicken	True	chicken	False		False	ENA + paper	Metagenomic sequencing was performed on cecal samples collected from chickens fed different diets.	UNIFORM	60	chicken gut metagenome
PRJNA1050657	False	True	Chroicocephalus ridibundus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM_WITH_GAPS	4	feces metagenome; freshwater metagenome
PRJNA1052069	True	True	Mus musculus	False		True	mouse (model of allograft rejection)	True	allograft rejection	False	ENA + paper	[model of allograft rejection] Metagenomic sequencing was performed on gut samples from mice subjected to antibiotic pretreatment and skin allograft transplantation.	UNIFORM	134	mouse gut metagenome
PRJNA1054518	True	True	Mus musculus	True	diversity outbred mice	True	diversity outbred mice	True	aging and caloric restriction effects on gut microbiome	False	ENA + paper	[model of aging and caloric restriction effects on gut microbiome] Metagenomes were sequenced from gut samples of 913 diversity outbred mice studied longitudinally over lifespan and during dietary restriction.	UNIFORM	2997	metagenome; mouse gut metagenome; synthetic metagenome
PRJNA1054761	True	True	Danio rerio	False		True	zebrafish (model of intestinal injury)	True	intestinal injury	False	ENA + paper	[model of intestinal injury] Metagenomic and 16S rRNA sequencing was performed on zebrafish intestinal samples in a model of Polygala tenuifolia-induced intestinal injury.	UNIFORM	30	Plesiomonas shigelloides
PRJNA1055184	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	133	chicken gut metagenome
PRJNA1055599	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJNA1056763	True	True	Bos taurus	False		True	vertebrate	False		False	ENA + paper	Gut metagenomes from 1,197 samples across 14 vertebrate species including carnivores, omnivores, and birds.	UNIFORM	327	bovine gut metagenome
PRJNA1060362	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	fish gut metagenome
PRJNA1060484	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJNA1061085	True	True	Duzang pigs	True	Duzang pig	True	Duzang pig	False		False	ENA + paper	Metagenomic sequencing was performed on cecal contents from Duzang pigs fed with or without Panax notoginseng stems and leaves.	UNIFORM	9	pig metagenome
PRJNA1061804	True	True	Gallus gallus domesticus	True	chicken	True	chicken	False		False	ENA + paper	Shotgun metagenomic sequencing was performed on cecal samples from chickens subjected to various heat stress conditions.	UNIFORM	40	chicken gut metagenome; synthetic metagenome
PRJNA1061805	True	True	Holothuria glaberrima	True	Holothuria glaberrima	True	Holothuria glaberrima	False		False	ENA + paper	Sequenced samples came from the intestinal system of sea cucumbers (Holothuria glaberrima) collected from Puerto Rico.	UNIFORM	3	metagenome
PRJNA1062568	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	feces metagenome
PRJNA1062915	True	True	Rattus norvegicus	False		True	rat (model of altered gut microenvironment)	True	altered gut microenvironment from 5-HT inhibition	False	ENA + paper	[model of altered gut microenvironment from 5-HT inhibition] Metagenomics was performed on colonic samples directly from neonatal rats treated with LP533401.	UNIFORM	12	rat gut metagenome
PRJNA1063537	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	fish gut metagenome
PRJNA1063657	True	True	Escherichia coli	True	Larus relictus and Anatidae	True	Larus relictus and Anatidae	False		False	ENA + paper	Metagenomic sequencing was performed on gut samples from wild bird species (Relict gull and Anatidae) inhabiting the Honghaizi Wetland.	UNIFORM	52	
PRJNA1064611	True	True	Serrasalmus rhombeus	True	piranha	True	piranha (Serrasalmus rhombeus)	False		False	ENA + paper	Metagenomes were sequenced directly from piranha gut samples and river water samples from the Rio São Benedito.	UNIFORM_WITH_GAPS	4	fish metagenome; freshwater metagenome
PRJNA1065277	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	68	feces metagenome
PRJNA1066198	True	True	Bombus impatiens	True	bumblebee queen	True	Bombus impatiens queen	False		False	ENA + paper	Sequenced samples came from commercial Bombus impatiens queens during and after winter diapause.	UNIFORM	49	insect metagenome
PRJNA1067380	True	True	Cotesia vestalis	True	Cotesia vestalis; Diadromus collaris	True	Cotesia vestalis; Diadromus collaris	False		False	ENA + paper	Metagenomic sequencing was performed on gut samples from larval stages of two parasitoid wasps.	UNIFORM	3	insect metagenome
PRJNA1067415	True	True	Cotesia vestalis	True	Cotesia vestalis; Diadromus collaris	True	Cotesia vestalis; Diadromus collaris; Plutella xylostella	False		False	ENA + paper	Metagenomic sequencing of gut microbiota from larvae of two parasitoid wasp species and comparative analysis with their host P. xylostella.	UNIFORM	3	insect metagenome
PRJNA1067830	True	True	Mus musculus	False		True	human	False		False	ENA + paper	Metagenomes sequenced from malnourished Bangladeshi children in a randomized controlled trial; mice used only for downstream mechanistic validation.	DIVERSE	312	Agrobacterium radiobacter; Alicyclobacillus acidiphilus; Bifidobacterium breve; Bifidobacterium catenulatum; Blautia luti; Blautia obeum; Dorea formicigenerans; Dorea longicatena; Enterococcus avium; Escherichia coli; Faecalibacterium prausnitzii; Lactococcus garvieae; Leyella stercorea DSM 18206; Ligilactobacillus ruminis; Mediterraneibacter gnavus; Mediterraneibacter torques; Mitsuokella multacida; Mus musculus; Segatella copri; Streptococcus gallolyticus
PRJNA1067849	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	54	pig gut metagenome
PRJNA1067975	True	True	Homo sapiens	False		True	human	False		False	ENA + paper	Fecal samples were collected from 104 human inpatients with different CDI-related conditions.	UNIFORM	104	Homo sapiens
PRJNA1069780	True	True	Gallus gallus	True	chicken	True	chicken	False		False	ENA + paper	Metagenomic samples were collected from chicken gut across different intestinal regions (small intestine and large intestine).	UNIFORM	40	
PRJNA1069876	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	pig gut metagenome
PRJNA1070846	False	True	rats	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	41	
PRJNA1070856	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	35	pig gut metagenome
PRJNA1072233	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJNA1073587	True	True	Ailuropoda melanoleuca	True	giant panda	True	giant panda	False		False	ENA + paper	Metagenomic samples were collected from the gut of giant pandas (142 samples from captive panda cohorts).	UNIFORM	6	gut metagenome
PRJNA1078419	True	True	Mus musculus	True	mice	True	mice	False		False	ENA + paper	Metagenomic analysis of cecal DNA from 90 inbred mouse strains in the hybrid mouse diversity panel.	UNIFORM	367	mouse gut metagenome
PRJNA1078999	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	194	feces metagenome; human gut metagenome
PRJNA1082665	True	True	canine	True	companion animal	True	dog; cat; human	False		False	ENA + paper	Sequenced stool metagenomes came from dogs (2272), cats (367), and humans (238 + 112 from baseline cohorts).	DIVERSE	767	gut metagenome
PRJNA1083038	True	True	Cervus elaphus	True	red deer	True	red deer	False		False	ENA + paper	Metagenomic sequencing was performed on faecal samples from wild red deer during winter months to assess gut microbiota changes associated with nutritional status.	UNIFORM	55	wildlife metagenome
PRJNA1084102	True	True	Mus musculus	False		True	mouse (model of colorectal cancer and lung cancer)	True	colorectal cancer and lung cancer	False	ENA + paper	[model of colorectal cancer and lung cancer] Fecal samples from murine tumor models (MC38 colorectal cancer and LLC lung cancer) underwent whole metagenomics sequencing.	UNIFORM	70	gut metagenome
PRJNA1084222	True	True	Mauremys reevesii	True	Mauremys reevesii	True	Mauremys reevesii	False		False	ENA + paper	Intestinal content samples were collected from juvenile three-keeled pond turtles exposed to nitrite stress.	UNIFORM	20	gut metagenome
PRJNA1086397	True	True	Mus musculus	True	mouse (model of acute radiation syndrome)	True	mouse (model of acute radiation syndrome)	True	acute radiation syndrome	False	ENA + paper	[model of acute radiation syndrome] Gut microbiota was directly sequenced from mice exposed to gamma-radiation and treated with ciprofloxacin and/or Neulasta.	UNIFORM	184	gut metagenome
