study_accession	n_samples	n_host_populated	pct_host_complete	n_distinct_hosts	distinct_host_list	sample_host_pattern	seq_type_mix	n_distinct_seq_types	has_genomic	n_genomic	host_pattern_confirmed	host_pattern_llm_note
PRJNA1069876	16	0	0.0	0		NO_HOST_DATA	METAGENOMIC:16	1	False	0	NO_HOST_DATA	
PRJNA1070846	41	41	1.0	1	rats	UNIFORM	METAGENOMIC:41	1	False	0	UNIFORM	
PRJNA1070856	35	35	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:35	1	False	0	UNIFORM	
PRJNA1072233	18	0	0.0	0		NO_HOST_DATA	METAGENOMIC:18	1	False	0	NO_HOST_DATA	
PRJNA1073587	6	6	1.0	1	Ailuropoda melanoleuca	UNIFORM	METAGENOMIC:6	1	False	0	UNIFORM	
PRJNA1078419	367	367	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:367	1	False	0	UNIFORM	
PRJNA1078999	194	194	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:194	1	False	0	UNIFORM	
PRJNA1082665	873	767	0.879	2	canine; feline	DIVERSE	METAGENOMIC:767; METATRANSCRIPTOMIC:106	2	False	0	DIVERSE	Canine and feline are distinct animal families/groups; a dog is not a cat.
PRJNA1083038	55	55	1.0	1	Cervus elaphus	UNIFORM	METAGENOMIC:55	1	False	0	UNIFORM	
PRJNA1084102	70	70	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:70	1	False	0	UNIFORM	
PRJNA1084222	20	20	1.0	1	Mauremys reevesii	UNIFORM	METAGENOMIC:20	1	False	0	UNIFORM	
PRJNA1086397	184	184	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:184	1	False	0	UNIFORM	
PRJNA1088536	112	112	1.0	1	Bos taurus	UNIFORM	METAGENOMIC:112	1	False	0	UNIFORM	
PRJNA1088789	12	12	1.0	4	Elaphe taeniura; Pareas formosensis; Protobothrops jerdonii; Rhabdophis chiwen	DIVERSE	METAGENOMIC:12	1	False	0	DIVERSE	Four distinct snake species with no general-to-specific or naming-variant relationships.
PRJNA1090271	86	0	0.0	0		NO_HOST_DATA	METAGENOMIC:86	1	False	0	NO_HOST_DATA	
PRJNA1090561	21	9	0.429	1	Salmo salar	UNIFORM_WITH_GAPS	METAGENOMIC:21	1	False	0	UNIFORM_WITH_GAPS	
PRJNA1091038	15	15	1.0	1	Dama dama	UNIFORM	METAGENOMIC:15	1	False	0	UNIFORM	
PRJNA1092107	10	10	1.0	8	Bos taurus; Canis lupus; Capra hircus; Felis catus; Gallus gallus; Sus scrofa; septage; wastewater	DIVERSE	METAGENOMIC:10	1	False	0	DIVERSE	Multiple distinct domestic/wild animal species plus environmental samples (septage and wastewater are non-animal sources).
PRJNA1092431	53	53	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:53	1	False	0	UNIFORM	
PRJNA1092791	41	41	1.0	4	Canis lupus familiaris; Macaca fascicularis; Mus musculus; Sus scrofa	DIVERSE	METAGENOMIC:41	1	False	0	DIVERSE	Four genuinely distinct species spanning different mammalian orders: dog, macaque, mouse, and pig.
PRJNA1095217	2	2	1.0	2	Anas crecca; Aythia ferina	DIVERSE	METAGENOMIC:2	1	False	0	DIVERSE	Two distinct duck species: Northern Pintail and Pochard are different waterfowl genera.
PRJNA1097789	4	4	1.0	1	Drosophila melanogaster	UNIFORM	METAGENOMIC:4	1	False	0	UNIFORM	
PRJNA1098026	21	21	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:21	1	False	0	UNIFORM	
PRJNA1099794	56	56	1.0	2	Gallus gallus; Hy-Ling brown laying hens	DIVERSE	METAGENOMIC:56	1	False	0	UNIFORM	Hy-Ling brown laying hens is a breed of Gallus gallus (domestic chicken), not a different species.
PRJNA1102166	1	1	1.0	1	Coilia nasus	UNIFORM	METAGENOMIC:1	1	False	0	UNIFORM	
PRJNA1102860	2778	2778	1.0	3	Equus caballus; negative control; positive control	DIVERSE	METAGENOMIC:2778	1	False	0	UNIFORM	Negative and positive controls are experimental controls, not distinct animals; only one host species (horse) is present.
PRJNA1108401	1	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1	1	False	0	NO_HOST_DATA	
PRJNA1108898	1	1	1.0	1	Trimeresurus stejnegeri	UNIFORM	METAGENOMIC:1	1	False	0	UNIFORM	
PRJNA1108923	13	13	1.0	1	Trimeresurus stejnegeri	UNIFORM	METAGENOMIC:13	1	False	0	UNIFORM	
PRJNA1108955	21	21	1.0	2	Lycodon rosozonatus; Lycodon rufozonatus	DIVERSE	METAGENOMIC:21	1	False	0	DIVERSE	These are two distinct species of colubrid snakes with different names and recognized taxonomic status.
PRJNA1110045	1	1	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:1	1	False	0	UNIFORM	
PRJNA1110616	24	24	1.0	1	Larimichthys crocea	UNIFORM	METAGENOMIC:24	1	False	0	UNIFORM	
PRJNA1112422	6	6	1.0	1	Sus scrofa domesticus	UNIFORM	METAGENOMIC:6	1	False	0	UNIFORM	
PRJNA1116530	15	15	1.0	3	Bacillota; Bacteroidota bacterium; Pseudomonadota	DIVERSE	METAGENOMIC:15	1	False	0	DIVERSE	These are three distinct bacterial phyla, representing genuinely different microbial taxa, not variants or hierarchical descriptions of a single organism.
PRJNA1116578	96	96	1.0	1	Mice	UNIFORM	METAGENOMIC:96	1	False	0	UNIFORM	
PRJNA1119029	171	118	0.69	1	Homo sapiens	UNIFORM_WITH_GAPS	METAGENOMIC:171	1	False	0	UNIFORM_WITH_GAPS	
PRJNA1119043	91	91	1.0	2	Cow; Equus asinus	DIVERSE	METAGENOMIC:91	1	False	0	DIVERSE	Cow (Bos taurus) and Equus asinus (donkey) are two distinct animal species.
PRJNA1119051	55	55	1.0	1	Camelus dromedarius	UNIFORM	METAGENOMIC:55	1	False	0	UNIFORM	
PRJNA1119053	69	15	0.217	1	Mus musculus	UNIFORM_WITH_GAPS	METAGENOMIC:69	1	False	0	UNIFORM_WITH_GAPS	
PRJNA1121382	30	30	1.0	1	Mesocricetus auratus	UNIFORM	METAGENOMIC:30	1	False	0	UNIFORM	
PRJNA1123238	67	58	0.866	2	Canis lupus familiaris; Homo sapiens	DIVERSE	METAGENOMIC:67	1	False	0	DIVERSE	Dogs and humans are two distinctly different species; this is a legitimate multi-host study.
PRJNA1123460	24	24	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:24	1	False	0	UNIFORM	
PRJNA1123873	15	15	1.0	2	Enterococcus casseliflavus; Enterococcus mundtii	DIVERSE	METAGENOMIC:15	1	False	0	DIVERSE	Two distinct bacterial species with different species epithets, not general/specific variants of each other.
PRJNA1124990	60	60	1.0	1	Apis mellifera	UNIFORM	METAGENOMIC:60	1	False	0	UNIFORM	
PRJNA1125130	20	20	1.0	1	Equus caballus	UNIFORM	METAGENOMIC:20	1	False	0	UNIFORM	
PRJNA1127265	48	48	1.0	1	Rattus norvegicus	UNIFORM	METAGENOMIC:48	1	False	0	UNIFORM	
PRJNA1130047	8	8	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:8	1	False	0	UNIFORM	
PRJNA1134918	12	12	1.0	2	Bifidobacterium animalis; Bifidobacterium pseudolongum	DIVERSE	METAGENOMIC:12	1	False	0	DIVERSE	Two distinct bacterial species within the genus Bifidobacterium, not variants or strain names of the same species.
PRJNA1135459	18	18	1.0	2	DNA-Seq of Mus musculus: adult female spleen; Mus musculus	DIVERSE	METAGENOMIC:18	1	False	0	UNIFORM	Both labels refer to the same species; the first is simply a more detailed description (adult female spleen tissue) while the second is the species name alone.
PRJNA1135945	157	157	1.0	2	Homo sapiens; Mus musculus	DIVERSE	METAGENOMIC:157	1	False	0	DIVERSE	Human and mouse are two distinct species; a legitimate multi-host comparative study.
PRJNA1136229	24	24	1.0	1	Gallus gallus subsp Domesticus	UNIFORM	METAGENOMIC:24	1	False	0	UNIFORM	
PRJNA1137132	36	36	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:36	1	False	0	UNIFORM	
PRJNA1138893	46	46	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:46	1	False	0	UNIFORM	
PRJNA1140353	16	16	1.0	2	Apis mellifera bacteriome; Apis mellifera mycobiome	DIVERSE	METAGENOMIC:16	1	False	0	UNIFORM	Both labels refer to the same honey bee species; 'bacteriome' and 'mycobiome' are microbiota compartment descriptors, not different animals.
PRJNA1141391	24	24	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:24	1	False	0	UNIFORM	
PRJNA1141435	62	62	1.0	1	Perca flavescens	UNIFORM	METAGENOMIC:38; METATRANSCRIPTOMIC:24	2	False	0	UNIFORM	
PRJNA1141889	10	10	1.0	1	Gallus gallus	UNIFORM	METAGENOMIC:10	1	False	0	UNIFORM	
PRJNA1144187	48	0	0.0	0		NO_HOST_DATA	METAGENOMIC:48	1	False	0	NO_HOST_DATA	
PRJNA1145617	104	104	1.0	1	Meleagris gallopavo	UNIFORM	METAGENOMIC:104	1	False	0	UNIFORM	
PRJNA1146968	13	13	1.0	3	Capricornis sumatraensis; Cervus albirostris; Moschus berezovskii	DIVERSE	METAGENOMIC:13	1	False	0	DIVERSE	Three distinct ungulate species from different genera: a serow, a deer, and a musk deer.
PRJNA1147314	838	838	1.0	1	Danio rerio	UNIFORM	METAGENOMIC:838	1	False	0	UNIFORM	
PRJNA1148062	6	6	1.0	1	Porcine	UNIFORM	METAGENOMIC:6	1	False	0	UNIFORM	
PRJNA1148150	34	34	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:34	1	False	0	UNIFORM	
PRJNA1148165	46	46	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:46	1	False	0	UNIFORM	
PRJNA1151203	30	30	1.0	2	Macaca mulatta vestita; Semnopithecus schistaceus	DIVERSE	METAGENOMIC:30	1	False	0	DIVERSE	These are two distinct primate species: rhesus macaque and Nepal gray langur.
PRJNA1154995	34	0	0.0	0		NO_HOST_DATA	METAGENOMIC:34	1	False	0	NO_HOST_DATA	
PRJNA1157353	200	200	1.0	5	Apis andreniformis; Apis cerana; Apis dorsata; Apis florea; Apis mellifera	DIVERSE	METAGENOMIC:200	1	False	0	DIVERSE	Five distinct Apis species; these are genuinely different animals, not variants of one species.
PRJNA1157396	24	24	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:24	1	False	0	UNIFORM	
PRJNA1158959	89	89	1.0	4	Sus scrofa; Sus scrofa cristatus; Sus scrofa leucomystax; Sus scrofa vittatus	DIVERSE	METAGENOMIC:89	1	False	0	UNIFORM	All four labels are subspecies or regional variants of the domestic pig (Sus scrofa), representing the same species with different taxonomic classifications.
PRJNA1161368	60	60	1.0	1	Bostaurus	UNIFORM	METAGENOMIC:60	1	False	0	UNIFORM	
PRJNA1161616	1	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1	1	False	0	NO_HOST_DATA	
PRJNA1163371	174	174	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:174	1	False	0	UNIFORM	
PRJNA1164203	161	161	1.0	1	Macaca fascicularis	UNIFORM	METAGENOMIC:161	1	False	0	UNIFORM	
PRJNA1165944	8	8	1.0	1	Bos taurus	UNIFORM	METAGENOMIC:8	1	False	0	UNIFORM	
PRJNA1167890	36	36	1.0	15	Aepyprymnus rufescens; Dendrolagus lumholtzi; Diprotodontia; Isoodon macrourus; Lasiorhinus latifrons; Macropus giganteus; Petauroides volans; Petaurus australis; Petaurus gracilis; Petaurus norfolcensis; Phascolarctos cinereus; Potorous tridactylus; Sminthopsis crassicaudata; Thylogale stigmatica; Vombatus ursinus	DIVERSE	METAGENOMIC:36	1	False	0	DIVERSE	Diprotodontia is a marsupial order containing multiple species listed; all other labels are distinct marsupial species genuinely different from each other.
PRJNA1171181	8	8	1.0	1	Siniperca chuatsi	UNIFORM	METAGENOMIC:8	1	False	0	UNIFORM	
PRJNA1171501	22	22	1.0	1	mouse	UNIFORM	METAGENOMIC:22	1	False	0	UNIFORM	
PRJNA1173401	6	6	1.0	1	Gallus gallus	UNIFORM	METAGENOMIC:6	1	False	0	UNIFORM	
PRJNA1175391	12	12	1.0	1	Micropterus salmoides	UNIFORM	METAGENOMIC:12	1	False	0	UNIFORM	
PRJNA1175865	128	128	1.0	5	Alexandromys fortis; Apodemus agrarius; Mus musculus; Rattus flavipectus; Rattus norvegicus	DIVERSE	METAGENOMIC:128	1	False	0	DIVERSE	Five distinct rodent species from different genera (Alexandromys, Apodemus, Mus, Rattus) representing genuinely different animals.
PRJNA1180206	30	30	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:30	1	False	0	UNIFORM	
PRJNA1182340	134	134	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:134	1	False	0	UNIFORM	
PRJNA1184324	20	20	1.0	1	mouse	UNIFORM	METAGENOMIC:20	1	False	0	UNIFORM	
PRJNA1184454	44	44	1.0	44	calves 1; calves 10; calves 11; calves 12; calves 13; calves 14; calves 15; calves 16; calves 17; calves 18; calves 19; calves 2; calves 20; calves 21; calves 22; calves 23; calves 24; calves 25; calves 26; calves 27; calves 28; calves 29; calves 3; calves 30; calves 31; calves 32; calves 33; calves 34; calves 35; calves 36; calves 37; calves 38; calves 39; calves 4; calves 40; calves 41; calves 42; calves 43; calves 44; calves 5; calves 6; calves 7; calves 8; calves 9	DIVERSE	METAGENOMIC:44	1	False	0	UNIFORM	All 44 labels are individual identifiers (calves 1-44) for the same species: young domestic cattle.
PRJNA1186832	112	112	1.0	1	mouse	UNIFORM	METAGENOMIC:112	1	False	0	UNIFORM	
PRJNA1187318	40	40	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:40	1	False	0	UNIFORM	
PRJNA1187854	20	20	1.0	1	Bostaurus	UNIFORM	METAGENOMIC:20	1	False	0	UNIFORM	
PRJNA1187897	119	0	0.0	0		NO_HOST_DATA	METAGENOMIC:119	1	False	0	NO_HOST_DATA	
PRJNA1190643	63	63	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:63	1	False	0	UNIFORM	
PRJNA1192041	15	15	1.0	1	rat	UNIFORM	METAGENOMIC:15	1	False	0	UNIFORM	
PRJNA1193062	323	0	0.0	0		NO_HOST_DATA	METAGENOMIC:323	1	False	0	NO_HOST_DATA	
PRJNA1193782	57	57	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:57	1	False	0	UNIFORM	
PRJNA1199800	30	12	0.4	1	Canis lupus familiaris	UNIFORM_WITH_GAPS	METAGENOMIC:30	1	False	0	UNIFORM_WITH_GAPS	
PRJNA1202651	72	72	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:72	1	False	0	UNIFORM	
PRJNA1204506	5	1	0.2	1	Gallus gallus	UNIFORM_WITH_GAPS	METAGENOMIC:5	1	False	0	UNIFORM_WITH_GAPS	
PRJNA1205011	9	5	0.556	1	fish	UNIFORM_WITH_GAPS	METAGENOMIC:9	1	False	0	UNIFORM_WITH_GAPS	
PRJNA1205074	36	9	0.25	1	Rattus norvegicus	UNIFORM_WITH_GAPS	OTHER:24; METAGENOMIC:12	2	False	0	UNIFORM_WITH_GAPS	
PRJNA1206451	3	3	1.0	1	Apis mellifera	UNIFORM	METAGENOMIC:3	1	False	0	UNIFORM	
PRJNA1206727	8	8	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:8	1	False	0	UNIFORM	
PRJNA1206810	9	0	0.0	0		NO_HOST_DATA	METAGENOMIC:9	1	False	0	NO_HOST_DATA	
PRJNA1208715	60	60	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:60	1	False	0	UNIFORM	
PRJNA1209849	1	0	0.0	0		NO_HOST_DATA	METAGENOMIC:1	1	False	0	NO_HOST_DATA	
PRJNA1210771	22	22	1.0	1	Euphausia superba	UNIFORM	METAGENOMIC:10; OTHER:9; METATRANSCRIPTOMIC:3	3	False	0	UNIFORM	
PRJNA1211045	15	15	1.0	8	Anisus; Biomphalaria sp.; Bulinus sp.; Cleopatra sp.; Lanistes sp.; Lymnaea sp.; Physella sp.; Pila sp.	DIVERSE	METAGENOMIC:15	1	False	0	DIVERSE	These are eight distinct genera of freshwater snails, representing genuinely different animals, not variants of one species.
PRJNA1211300	17	17	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:17	1	False	0	UNIFORM	
PRJNA1211805	78	78	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:78	1	False	0	UNIFORM	
PRJNA1212753	60	60	1.0	1	Canis lupus familiaris	UNIFORM	METAGENOMIC:60	1	False	0	UNIFORM	
PRJNA1214001	17	17	1.0	1	rat	UNIFORM	METAGENOMIC:17	1	False	0	UNIFORM	
PRJNA1214037	144	144	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:144	1	False	0	UNIFORM	
PRJNA1215014	24	24	1.0	1	Sus	UNIFORM	METAGENOMIC:24	1	False	0	UNIFORM	
PRJNA1217868	24	24	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:24	1	False	0	UNIFORM	
PRJNA1218713	172	172	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:172	1	False	0	UNIFORM	
PRJNA1219188	185	185	1.0	1	Sus scrofa domestica	UNIFORM	METAGENOMIC:185	1	False	0	UNIFORM	
PRJNA1222153	493	0	0.0	0		NO_HOST_DATA	METAGENOMIC:493	1	False	0	NO_HOST_DATA	
PRJNA1224791	97	97	1.0	1	Gallus gallus domesticus	UNIFORM	METAGENOMIC:97	1	False	0	UNIFORM	
PRJNA1225188	63	15	0.238	1	Homo sapiens	UNIFORM_WITH_GAPS	METAGENOMIC:63	1	False	0	UNIFORM_WITH_GAPS	
PRJNA1225421	210	210	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:210	1	False	0	UNIFORM	
PRJNA1226362	30	30	1.0	2	SPF mice BALB/c; SPF mice C57	DIVERSE	METAGENOMIC:30	1	False	0	UNIFORM	BALB/c and C57 are two different inbred strains of the same species (Mus musculus), both laboratory mice.
PRJNA1227156	26	26	1.0	1	Gallus gallus	UNIFORM	METAGENOMIC:14; OTHER:12	2	False	0	UNIFORM	
PRJNA1227608	395	47	0.119	5	Bovine; Candidatus Ozemibacteraceae bacterium; Giraffa camelopardalis; Mazzaella japonica; Moschidae	DIVERSE_AND_SPARSE	METAGENOMIC:388; GENOMIC:7	2	True	7	DIVERSE_AND_SPARSE	Five genuinely different organisms spanning mammals (bovine, giraffe), bacteria, and algae; this appears to be a metadata contamination or misclassification error in the host labels.
PRJNA1227753	9	9	1.0	1	mice	UNIFORM	METAGENOMIC:9	1	False	0	UNIFORM	
PRJNA1228539	45	45	1.0	1	Trachypithecus francoisi	UNIFORM	METAGENOMIC:45	1	False	0	UNIFORM	
PRJNA1228986	34	34	1.0	1	Gallus gallus	UNIFORM	METAGENOMIC:34	1	False	0	UNIFORM	
PRJNA1229795	62	62	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:62	1	False	0	UNIFORM	
PRJNA1232341	32	32	1.0	1	Sus	UNIFORM	METAGENOMIC:32	1	False	0	UNIFORM	
PRJNA1232403	98	98	1.0	1	Apis mellifera	UNIFORM	METAGENOMIC:98	1	False	0	UNIFORM	
PRJNA1233886	4	4	1.0	1	Holothuria glaberrima	UNIFORM	METAGENOMIC:4	1	False	0	UNIFORM	
PRJNA1234694	9	9	1.0	1	Diaprepres abbreviatus	UNIFORM	METAGENOMIC:9	1	False	0	UNIFORM	
PRJNA1238482	9	9	1.0	1	snake	UNIFORM	METAGENOMIC:9	1	False	0	UNIFORM	
PRJNA1242249	24	24	1.0	1	Moschus berezovskii	UNIFORM	METAGENOMIC:24	1	False	0	UNIFORM	
PRJNA1243555	20	13	0.65	1	Escherichia coli	UNIFORM_WITH_GAPS	OTHER:13; GENOMIC:7	2	True	7	UNIFORM_WITH_GAPS	
PRJNA1244851	36	0	0.0	0		NO_HOST_DATA	METAGENOMIC:36	1	False	0	NO_HOST_DATA	
PRJNA1245063	12	6	0.5	1	Gallus gallus	UNIFORM_WITH_GAPS	METAGENOMIC:12	1	False	0	UNIFORM_WITH_GAPS	
PRJNA1245445	144	20	0.139	1	Bos taurus	UNIFORM_WITH_GAPS	METAGENOMIC:144	1	False	0	UNIFORM_WITH_GAPS	
PRJNA1247471	44	0	0.0	0		NO_HOST_DATA	METAGENOMIC:44	1	False	0	NO_HOST_DATA	
PRJNA1253095	10	10	1.0	2	Nyctalus noctula; Vespertilio murinus	DIVERSE	METAGENOMIC:10	1	False	0	DIVERSE	These are two distinct bat species: common noctule and parti-coloured bat.
PRJNA1254096	14	14	1.0	3	Diptychus maculatus; Schizothorax biddulphi; Triplophysa yarkandensis	DIVERSE	METAGENOMIC:14	1	False	0	DIVERSE	Three distinct fish species from different genera in the family Cyprinidae.
PRJNA1257558	68	68	1.0	1	Pantholops hodgsonii	UNIFORM	METAGENOMIC:68	1	False	0	UNIFORM	
PRJNA1260157	6	6	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:6	1	False	0	UNIFORM	
PRJNA1261602	12	0	0.0	0		NO_HOST_DATA	METAGENOMIC:12	1	False	0	NO_HOST_DATA	
PRJNA1263030	18	18	1.0	1	Ovis aries	UNIFORM	METAGENOMIC:18	1	False	0	UNIFORM	
PRJNA1264679	16	16	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:16	1	False	0	UNIFORM	
PRJNA1264687	10	10	1.0	1	Protaetia brevitarsis	UNIFORM	METAGENOMIC:10	1	False	0	UNIFORM	
PRJNA1268041	16	16	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:16	1	False	0	UNIFORM	
PRJNA1268758	24	24	1.0	1	Gallus gallus domesticus	UNIFORM	METAGENOMIC:24	1	False	0	UNIFORM	
PRJNA1269114	13	13	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:13	1	False	0	UNIFORM	
PRJNA1269239	33	33	1.0	1	Duck	UNIFORM	METAGENOMIC:33	1	False	0	UNIFORM	
PRJNA1273701	36	36	1.0	1	Sprague-Dawley rats	UNIFORM	METAGENOMIC:36	1	False	0	UNIFORM	
PRJNA1280790	24	0	0.0	0		NO_HOST_DATA	METAGENOMIC:24	1	False	0	NO_HOST_DATA	
PRJNA1282711	45	45	1.0	1	Sus scrofa domesticus	UNIFORM	METAGENOMIC:45	1	False	0	UNIFORM	
PRJNA1283350	48	0	0.0	0		NO_HOST_DATA	METAGENOMIC:48	1	False	0	NO_HOST_DATA	
PRJNA1289129	4	4	1.0	1	Rattus norvegicus	UNIFORM	METAGENOMIC:4	1	False	0	UNIFORM	
PRJNA1293833	39	39	1.0	1	Bos taurus	UNIFORM	METAGENOMIC:39	1	False	0	UNIFORM	
PRJNA1293880	29	0	0.0	0		NO_HOST_DATA	METAGENOMIC:29	1	False	0	NO_HOST_DATA	
PRJNA1297587	16	16	1.0	2	Citrus x aurantiifolia; Diaprepes abbreviatus	DIVERSE	METAGENOMIC:16	1	False	0	DIVERSE	Citrus is a plant genus while Diaprepes abbreviatus is an insect species (weevil); these are genuinely different organisms.
PRJNA1298367	104	104	1.0	2	Homo sapiens; Mus musculus	DIVERSE	METAGENOMIC:92; TRANSCRIPTOMIC SINGLE CELL:12	2	False	0	DIVERSE	Human and mouse are two distinct species; this is a genuine multi-host study.
PRJNA1298833	4	4	1.0	1	Canis lupus familiaris	UNIFORM	METAGENOMIC:4	1	False	0	UNIFORM	
PRJNA1298916	27	27	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:27	1	False	0	UNIFORM	
PRJNA1301039	48	48	1.0	1	Gallus gallus	UNIFORM	METAGENOMIC:48	1	False	0	UNIFORM	
PRJNA1302101	2	2	1.0	1	Phalacrocorax auritus	UNIFORM	METAGENOMIC:2	1	False	0	UNIFORM	
PRJNA1302757	9	0	0.0	0		NO_HOST_DATA	METAGENOMIC:9	1	False	0	NO_HOST_DATA	
PRJNA1306187	94	0	0.0	0		NO_HOST_DATA	METAGENOMIC:94	1	False	0	NO_HOST_DATA	
PRJNA1307965	14	14	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:14	1	False	0	UNIFORM	
PRJNA1320715	66	66	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:66	1	False	0	UNIFORM	
PRJNA1320939	111	0	0.0	0		NO_HOST_DATA	METAGENOMIC:75; METATRANSCRIPTOMIC:36	2	False	0	NO_HOST_DATA	
PRJNA1332038	1	1	1.0	1	Gallus gallus	UNIFORM	METAGENOMIC:1	1	False	0	UNIFORM	
PRJNA1332145	112	112	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:112	1	False	0	UNIFORM	
PRJNA1353630	47	0	0.0	0		NO_HOST_DATA	METAGENOMIC:47	1	False	0	NO_HOST_DATA	
PRJNA1356556	28	28	1.0	8	day 0 broiler; day 1 broiler; day 14 broiler; day 28 broiler; day 3 broiler; day 42 broiler; day 7 broiler; environment	DIVERSE	METAGENOMIC:28	1	False	0	UNIFORM	All labels refer to broiler chickens at different developmental timepoints (days 0, 1, 3, 7, 14, 28, 42); 'environment' is not a host animal but an environmental control sample.
PRJNA1367213	109	109	1.0	1	Ovis aries	UNIFORM	METAGENOMIC:109	1	False	0	UNIFORM	
PRJNA1375668	24	24	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:24	1	False	0	UNIFORM	
PRJNA1376267	8	0	0.0	0		NO_HOST_DATA	METAGENOMIC:8	1	False	0	NO_HOST_DATA	
PRJNA1377454	24	24	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:24	1	False	0	UNIFORM	
PRJNA1389899	18	18	1.0	1	Gallus gallus	UNIFORM	METAGENOMIC:18	1	False	0	UNIFORM	
PRJNA1390420	15	15	1.0	1	Mus musculus	UNIFORM	METAGENOMIC:15	1	False	0	UNIFORM	
PRJNA1391520	24	0	0.0	0		NO_HOST_DATA	METAGENOMIC:24	1	False	0	NO_HOST_DATA	
PRJNA1393111	25	25	1.0	1	Ictalurus punctatus	UNIFORM	METAGENOMIC:25	1	False	0	UNIFORM	
PRJNA1399069	30	0	0.0	0		NO_HOST_DATA	METAGENOMIC:30	1	False	0	NO_HOST_DATA	
PRJNA1399070	13	13	1.0	1	Manis javanica	UNIFORM	METAGENOMIC:13	1	False	0	UNIFORM	
PRJNA1400761	28	0	0.0	0		NO_HOST_DATA	METAGENOMIC:28	1	False	0	NO_HOST_DATA	
PRJNA1405988	64	64	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:64	1	False	0	UNIFORM	
PRJNA1415237	25	0	0.0	0		NO_HOST_DATA	METAGENOMIC:15; TRANSCRIPTOMIC:8; GENOMIC:2	3	True	2	NO_HOST_DATA	
PRJNA1417531	2	0	0.0	0		NO_HOST_DATA	OTHER:2	1	False	0	NO_HOST_DATA	
PRJNA1428229	18	0	0.0	0		NO_HOST_DATA	METAGENOMIC:18	1	False	0	NO_HOST_DATA	
PRJNA1434035	6	0	0.0	0		NO_HOST_DATA	METAGENOMIC:6	1	False	0	NO_HOST_DATA	
PRJNA1442370	75	0	0.0	0		NO_HOST_DATA	METAGENOMIC:75	1	False	0	NO_HOST_DATA	
PRJNA1454930	10	10	1.0	1	Sus scrofa	UNIFORM	METAGENOMIC:10	1	False	0	UNIFORM	
PRJNA1475489	39	39	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:39	1	False	0	UNIFORM	
PRJNA1477333	48	0	0.0	0		NO_HOST_DATA	METAGENOMIC:48	1	False	0	NO_HOST_DATA	
PRJNA158313	2	2	1.0	2	Rhinopithecus bieti; Xanthonycticebus pygmaeus	DIVERSE	METAGENOMIC:2	1	False	0	DIVERSE	Two distinct primate species from different genera.
PRJNA193472	3	3	1.0	1	Macrotermes natalensis	UNIFORM	METAGENOMIC:3	1	False	0	UNIFORM	
PRJNA255439	32	32	1.0	1	Homo sapiens	UNIFORM	METAGENOMIC:32	1	False	0	UNIFORM	
