study_accession,derived_host_species,derivation_source,title,abstract
PRJNA855286,Sus scrofa,regex_title_only_no_abstract,NiangXiang pigs metagenome Raw sequence reads,
PRJNA601052,Gallus gallus,regex_title_only_no_abstract,Impact of antibiotic administration route on chicken feces metagenome,
PRJNA311136,Pristis pectinata,llm,Feeding ecology study of Smalltooth sawfish using 18S rRNA high-throuput sequencing,
PRJDB8678,,llm_unknown,Bacteroides inhibit adiposity,
PRJNA811727,Homo sapiens,llm,Probio-X combined with metformin alleviates type 2 diabetes by mediating short-chain fatty acid-producing bacteria and bile acid pathways,
PRJNA417359,Gallus gallus,regex_title_only_no_abstract,A catalogue of chicken gut metagenome and the microbial responses to antibiotic and plant-derived benzylisoquinoline alkaloids,
PRJNA1023964,,llm_unknown,Wastewater and river metagenomes,
PRJDB36211,Sus scrofa,regex_title_only_no_abstract,Analysis of fecal flora of local pig breeds in China (PRJCA023268),
PRJDB16532,Homo sapiens,regex_title_only_no_abstract,Generic sample from human gut metagenome,
PRJDB36502,Sus scrofa,regex_title_only_no_abstract,Whole-metagenome shotgun sequencing of pig gut microbiota (PRJCA038760),
PRJNA1228986,,llm_unknown,LBC AA Metagenomics and gut microbiome Metagenome,
PRJNA874500,Gallus gallus,regex_title_only_no_abstract,Broiler chicken gut ileum mucosa/lumen microbiota reads,
PRJNA1405988,,llm_unknown,Gut microbiome in PRRS vaccination and infection,
PRJEB60740,,llm_unknown,In Vivo Adaptation of Engineered Native Bacteria (G0),
PRJNA913183,Homo sapiens,regex_title_only_no_abstract,Host-Diet-Gut Microbiome Interactions Influence Human Energy Balance: a Randomized Clinical Trial,
PRJNA526405,Sus scrofa,regex_title_only_no_abstract,Pig microbiome,
PRJNA822495,,llm_unknown,crustacean metagenome Metagenome,
PRJEB52754,Gasterosteus aculeatus,llm,"Interplay between antipredator behavior, parasitism, and gut microbiome in wild stickleback populations",
PRJEB86261,Sus scrofa,regex_title_only_no_abstract,3D'omics: mannan fibre swine trial,
PRJNA947387,Mus musculus,regex_title_only_no_abstract,Effect of water-soluble polysaccharide from Morchella esculenta on high-fat diet-induced obese mice: Changes in gut microbiota and metabolic functions,
PRJNA1039141,Sus scrofa,regex_title_only_no_abstract,Pig metagenomic sequencing,
PRJNA770101,Homo sapiens,regex_title_only_no_abstract,the transmission of probio-m9 from mother to infant,
PRJEB76898,,llm_unknown,EHI Data Release 1,
PRJDB3161,Mus musculus,llm,Fecal analysis in gnotobiotic mice gnotobiotic mice harboring 15 predominant species of human gut microbiota,
PRJNA1205011,,llm_unknown,gut microbial community,
PRJNA763692,Homo sapiens,regex_title_only_no_abstract,A high-quality genome compendium of the human gut microbiome of Inner Mongolians,
PRJNA613834,Homo sapiens,regex_title_only_no_abstract,Functional Microbial Responses to Alcohol Abstinence in Patients with Alcohol Use Disorder,
PRJNA1050241,Gallus gallus,regex_title_only_no_abstract,Effect of diet on chicken cecal microbiome,
PRJNA690892,Camelus bactrianus,llm,Fecal microbiome of wild Bactrian camels,
PRJDB17048,Homo sapiens,llm,Japanese Lynch Syndrome Gut Microbiome,
PRJNA828385,Sus scrofa,regex_title_only_no_abstract,Sus scrofa Genome sequencing and assembly,
PRJDB36916,Homo sapiens,regex_title_only_no_abstract,Gut metagenomic data for sepsis patients (PRJCA040720),
PRJDB8879,Homo sapiens,llm,Response of gut microbial community to fermented soybean paste (Cheonggukjang),
PRJDB6620,Mus musculus,regex_title_only_no_abstract,Shotgun sequencing of mouse small intestinal contents,
PRJNA926485,Sus scrofa,regex_title_only_no_abstract,Shotgun metagenomics sequences of colonic microbiome in of pig models for ulcerative colitis,
PRJDB34615,Phascolarctos cinereus,llm,koala gut metagenomic data (PRJCA036472),
PRJEB3374,Mus musculus,regex_title_only_no_abstract,"Gut microbiota community and functions of mouse exposed to single As, single Fe, and combined As and Fe",
PRJNA524980,,llm_unknown,In situ biogas upgrading by H2 addition with metagenomic technology,
PRJDB35189,Homo sapiens,llm,Family Cohort Study Reveals Significant Fluctuations in Functional Microbiota in CRC (PRJCA038885),
PRJNA662107,Homo sapiens,regex_title_only_no_abstract,human metagenome Raw sequence reads,
PRJDB18770,Sus scrofa,regex_title_only_no_abstract,Metagenome analysis of fecal microbiome of sows,
PRJEB4370,Mus musculus,llm,A gnotobiotic mouse model of phage-bacterial host dynamics in the human gut,
PRJEB39110,Gallus gallus,regex_title_only_no_abstract,HoloFood Chicken Caecum+Ileum Metagenome,
PRJNA772888,,llm_unknown,Metagenomic analysis of environmental feces,
PRJEB76066,,llm_unknown,Gut decolonization of multidrug-resistant Escherichia coli clinical isolates via cooperative niche exclusion,
PRJNA801914,Sus scrofa,regex_title_only_no_abstract,Effects of spraying Lactobacillus plantarum P-8 on growth characteristics of neonatal piglets,
PRJNA983744,Mus musculus,regex_title_only_no_abstract,Mus musculus Raw sequence reads,
PRJNA1078280,Mus musculus,regex_title_only_no_abstract,Quantifying forms and functions of intestinal bile acid pools in mice,
PRJNA688070,Salmonella enterica,llm,Horizontal gene transfer is the major driver of antimicrobial resistance in Salmonella enterica serovar Heidelberg,
PRJNA488302,Sus scrofa,regex_title_only_no_abstract,16S and ITS region of pig gut bacteria,
PRJDB17221,Homo sapiens,llm,Horizontal gene transfer shapes pathogenic bacteria in multiple sclerosis_fecal metagenome,
PRJNA843963,,llm_unknown,CAGED: CAMPYLOBACTER GENOMICS AND ENVIRONMENTAL ENTERIC DYSFUNCTION,
PRJNA751585,Gallus gallus,regex_title_only_no_abstract,Cecal microbiome of AGP treated broilers,
PRJNA991276,Sus scrofa,regex_title_only_no_abstract,pig gut metagenome Raw sequence reads,
PRJNA657304,Canis lupus familiaris,regex_title_only_no_abstract,Shotgun Sequencing of Dog Coprolites,
PRJNA673918,Homo sapiens,regex_title_only_no_abstract,Shorgun metagenomics of T2DM human gut microbes associated with FMT,
PRJNA737271,Sus scrofa,regex_title_only_no_abstract,Piglet gut and in-barn manure from farms on Raised Without Antibiotics program display a reduced antimicrobial resistance but an increased prevalence of pathogens,
PRJNA738684,,llm_unknown,Branched-chain sugar of pectin,
PRJDB16637,Plecoglossus altivelis,llm,"Microbiome analysis of ayu, Plecoglossus altivelis infected with Flavobacterium psychrophilum",
PRJNA945007,Gallus gallus,regex_title_only_no_abstract,Non-targeted microbial sequencing of backyard chickens in Tanzania,
PRJEB89232,Sus scrofa,regex_title_only_no_abstract,This project aims to characterise the effects of a low-fat and a medium-fat diet on the gut metabolome and the microbiota throughout the gastrointestinal tract of Iberian pigs.,
PRJDB15999,Mus musculus,regex_title_only_no_abstract,Gut microbiota dominants over mice genetic variability in susceptibility to dextran sulphate sodium induced colitis,
PRJNA622417,Rattus norvegicus,regex_title_only_no_abstract,Rat fecal metagenome,
PRJNA848282,Sus scrofa,regex_title_only_no_abstract,Colon 16s sequencing data of Tibetan and Yorkshire pigs,
PRJDB10484,Homo sapiens,regex_title_only_no_abstract,Gut microbial species responsible for hyperammonemia-related urease activity in hepatic encephalopathy patients,
PRJNA1268758,Gallus gallus,regex_title_only_no_abstract,Thermal manipulation impact on microbiome in chickens,
PRJNA1029302,,llm_unknown,Herbivorous fish gut metagenome sequencing and assembly,
PRJNA1102860,Equus caballus,regex_title_only_no_abstract,Shallow shotgun metagenomic sequencing of the Sable Island horse gut microbiome,
PRJDB11444,Homo sapiens,llm,Gut microbiome of prediabetes in Japan,
PRJNA1330193,Sus scrofa,llm,Metagenomic Sequencing Data of DLY_piglets,
PRJEB83251,Mus musculus,regex_title_only_no_abstract,C. cuniculi diarrhea in NSG mice,
PRJNA888429,Sus scrofa,regex_title_only_no_abstract,Diversity and Potential Function of Pig Gut DNA Viruses,
PRJEB59610,Canis lupus familiaris,regex_title_only_no_abstract,Comparative metagenomic profiling of canine gut microbial community using different sample preparation methodes,
PRJDB3819,Lagopus muta,llm,Novel probiotic bacteria retrieved from wild rock ptarmigans,
PRJNA552411,Gallus gallus,regex_title_only_no_abstract,Metagenome analysis reveals presence of Antibiotic Resistant Genes in Ethiopian chicken,
PRJNA777737,Ochotona curzoniae,regex_title_only_no_abstract,the metagenome of plateau pika,
PRJNA1218713,Sus scrofa,regex_title_only_no_abstract,Gut microbiota (swine) shotgun sequencing,
PRJEB96078,,llm_unknown,ApoE_FXR_IHC_Air_HFD,
PRJNA1328842,Sus scrofa,regex_title_only_no_abstract,Assessing The Microbiome As A Tool For The Mitigation Of Viral Disease In Nursery Pigs,
PRJNA792486,Capra aegagrus hircus,llm,"Rumen and cecum content metagenome of goat, and cecum content metagenome of swine Raw sequence reads",
PRJNA1254096,,llm_unknown,"Metagenomic sequencing on the gut microbiota of Three Indigenous Fish Species from the Kizil River, Xinjiang",
PRJDB36775,,llm_unknown,Metagenome for CKD (HS study) (PRJCA040203),
PRJNA919082,Homo sapiens,llm,Types and characteristics of shared microbiota within families of ethnic minorities in Inner Mongolia,
PRJDB37508,Homo sapiens,regex_title_only_no_abstract,Human Gut Metagenome,
PRJNA988937,,llm_unknown,Metagenomic approach revealed the co-occurrence and transmission of antibiotic resistomes in aquaculture environment,
PRJDB34988,Anas platyrhynchos,regex_title_only_no_abstract,Microbial diversity in duck gut and its effects on host phenotype (PRJCA038082),
PRJNA1454930,,llm_unknown,Gut meta genome,
PRJNA637365,Homo sapiens,regex_title_only_no_abstract,Dysbiosis in metabolic genes of the gut microbiomes of patients with a Pouch,
PRJDB9922,Mus musculus,regex_title_only_no_abstract,Mice fecal lipidomics in antibiotics treatment,
PRJNA688069,Gallus gallus,regex_title_only_no_abstract,S. enterica Intracloacal challenge chicken cecum microbiome Raw sequence reads,
PRJNA773596,Homo sapiens,regex_title_only_no_abstract,Clinical study of probiotics in adjuvant treatment of patients with osteoporosis,
PRJNA852373,Gallus gallus,llm,Alterations in antimicrobial resistant bacteria and gut microbiota in chickens and humans,
PRJNA861020,Felis catus,llm,Cat and dog faecal microbiome comparison,
PRJNA493153,Homo sapiens,regex_title_only_no_abstract,Gut Microbiome Sequencing of Head and Neck Cancer Patients,
PRJDB38518,Homo sapiens,regex_title_only_no_abstract,Human gut virome (PRJCA034040),
PRJNA1389899,Gallus gallus,regex_title_only_no_abstract,Metagenomic sequencing of chicken caecal contents before and after heat stress,
PRJNA722129,Homo sapiens,regex_title_only_no_abstract,The possible mechanism of Probio-M8 to relieve the symptoms of asthma patients,
PRJNA1067849,Sus scrofa,regex_title_only_no_abstract,gut microbiota of IUGR pig Metagenome,
PRJNA1171181,,llm_unknown,gut metagenome,
PRJNA656314,Danio rerio,regex_title_only_no_abstract,Environmental concentrations of antibiotics alter the zebrafish gut microbiome structure and potential functions,
PRJNA638426,Sus scrofa,regex_title_only_no_abstract,Effects of feed additives on nursery aged swine and swine infected with Salmonella,
PRJNA857725,Sus scrofa,regex_confirmed,Fecal samples from pasture-raised pigs Metagenome,"1. Microb Genom. 2023 Jul;9(7):mgen001061. doi: 10.1099/mgen.0.001061.

The gut microbiome and resistome of conventionally vs. pasture-raised pigs.

Holman DB(1), Gzyl KE(1), Kommadath A(1).

Author information:
(1)Lacombe Research and Development Centre, Agriculture and Agri-Food Canada, 
6000 C&E Trail, Lacombe, AB, T4L1W1, Canada.

Conventional swine production typically houses pigs indoors and in large groups, 
whereas pasture-raised pigs are reared outdoors at lower stocking densities. 
Antimicrobial use also differs, with conventionally raised pigs often being 
exposed to antimicrobials directly or indirectly to control and prevent 
infectious disease. However, antimicrobial use can be associated with the 
development and persistence of antimicrobial resistance. In this study, we used 
shotgun metagenomic sequencing to compare the gut microbiomes and resistomes of 
pigs raised indoors on a conventional farm with those raised outdoors on 
pasture. The microbial compositions as well as the resistomes of both groups of 
pigs were significantly different from each other. Bacterial species such as 
Intestinibaculum porci, Pseudoscardovia radai and Sharpea azabuensis were 
relatively more abundant in the gut microbiomes of pasture-raised pigs and 
Hallella faecis and Limosilactobacillus reuteri in the conventionally raised 
swine. The abundance of antimicrobial resistance genes (ARGs) was significantly 
higher in the conventionally raised pigs for nearly all antimicrobial classes, 
including aminoglycosides, beta-lactams, macrolides-lincosamides-streptogramin 
B, and tetracyclines. Functionally, the gut microbiomes of the two group of pigs 
also differed significantly based on their carbohydrate-active enzyme (CAZyme) 
profiles, with certain CAZyme families associated with host mucin degradation 
enriched in the conventional pig microbiomes. We also recovered 1043 
dereplicated strain-level metagenome-assembled genomes (≥90 % completeness and 
<5 % contamination) to provide taxonomic context for specific ARGs and metabolic 
functions. Overall, the study provides insights into the differences between the 
gut microbiomes and resistomes of pigs raised under two very different 
production systems.

DOI: 10.1099/mgen.0.001061
PMCID: PMC10438820
PMID: 37439777 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare that there are no conflicts 
of interest."
PRJNA613182,Mus musculus,llm,Longitudinal metagenomic shotgun sequencing of R6/1 fecal samples,
PRJNA986525,Mus musculus,llm,2'-fucoysllactose treatment of C57BL/6 adult mice fecal metagenomics,
PRJNA373834,Sus scrofa,regex_title_only_no_abstract,Metagenomic analysis of gut microbiota in sows and piglets,
PRJNA859374,Rattus norvegicus,regex_title_only_no_abstract,Gut microbiota in Cardiac Arrest Rat Model,
PRJNA821272,Mus musculus,regex_title_only_no_abstract,"Lacticaseibacillus rhamnosus M9 inhibits the growth of breast tumors in mice by regulating gut microbiota, immunity and blood metabolites",
PRJNA416199,,llm_unknown,Intestinal flora Metagenome,
PRJEB47609,Gallus gallus,regex_title_only_no_abstract,HoloFood Chicken Ileum Metagenome – deeply sequenced batch,
PRJEB41323,Gallus gallus,regex_title_only_no_abstract,HoloFood Chicken Caecum Metagenome – deeply sequenced batch,
PRJNA692830,Homo sapiens,llm,Whole genome metagenomic analysis of the gut microbiome in HIV-1 infected individuals on antiretroviral therapy,
PRJNA574851,Macaca mulatta,llm,Gut microbiota and metabolites in α-synuclein transgenic monkey models of early stage Parkinson’s disease,
PRJNA1055184,Gallus gallus,regex_title_only_no_abstract,Prokaryotic microbial communities of the Ileal digesta of Gallus gallus domesticus,
PRJEB86262,Sus scrofa,regex_title_only_no_abstract,3D'omics: protein efficiency pig trial,
PRJNA946383,Gallus gallus,regex_title_only_no_abstract,Microbial community diversity and structure in the cecum of laying hens with and without mannan-rich fraction supplementation,
PRJEB39465,Mus musculus,llm,Impact of 6-Month Exposure to Aerosols from Potential Modified Risk Tobacco Products Relative to Cigarette Smoke on the Rodent Gastrointestinal Tract,
PRJNA902684,Rattus norvegicus,regex_title_only_no_abstract,Metagenome level reveals the regulatory effect of probiotics to mastitis rats,
PRJNA1011357,Cyprinus carpio,regex_title_only_no_abstract,Description of the viral community in fecal content of common carp (Cyprinus carpio) living in a naturally preserved wetland on Mexican plateau,
PRJEB49262,,llm_unknown,Depression and Fatigue in IBD,
PRJEB62460,Homo sapiens,llm,Metcalf - Microbial clock for estimating PMI in three geographic regions in the U.S,
PRJDB35153,Macaca mulatta,regex_title_only_no_abstract,Gut Microbiota in Macaca Mulatta Brevicaudus (PRJCA038744),
PRJNA782061,Ctenopharyngodon idella,llm,Gut microbiome of grass carp (EX/WT),
PRJDB33192,,llm_unknown,Infands gut virome (PRJCA031650),
PRJNA998458,Lynx rufus,llm,Bobcat (Lynx rufus) environmental DNA (eDNA) soil pawprints and scat,
PRJNA1070846,,llm_unknown,Fecal metagenomic sequecing,
PRJNA741390,,llm_unknown,A positive feeding response in a major coral reef detritivore,
PRJNA796172,Sus scrofa,regex_title_only_no_abstract,Detection of bacterial species and Antibiotic resistance genes in Pig Manure Based on metagenome sequencing,
PRJNA255936,Sus scrofa,regex_title_only_no_abstract,Fermentation sample pig feces Metagenome,
PRJDB16790,Homo sapiens,regex_title_only_no_abstract,Generic sample from human gut metagenome,
PRJNA820553,,llm_unknown,metagenome of ancient coprolites,
PRJDB4067,,llm_unknown,Sequencing old specimens of seaweeds,
PRJNA606765,,llm_unknown,A role for gut microbiota in host niche differentiation,
PRJNA695396,Aristichthys nobilis,llm,Bighead carp intestinal 16S rRNA gene sequencing,
PRJNA1136229,Gallus gallus,regex_title_only_no_abstract,Breaking the Cycle: A Yeast Mannan-Rich Fraction beneficially modulates the antimicrobial resistome associated with Layer hen cecal microbiomes under commercial conditions,
PRJNA946412,Felis catus,regex_title_only_no_abstract,Diet effects on cat faecal microbiome composition,
PRJNA626062,Homo sapiens,regex_title_only_no_abstract,Fecal microbiota transplant therapy in type 2 diabetes patients.,
PRJNA597688,Siganus oramin,llm,Siganus oramin Matagenomic sequencing,
PRJNA1245063,,llm_unknown,16S ribosomal RNA sequencing of animal gut microbes,
PRJNA798875,Gallus gallus,regex_title_only_no_abstract,Poultry farm metagenome,
PRJEB74255,,llm_unknown,Klebsiella pneumoniae decolonization on Western-style diets,
PRJNA691978,,llm_unknown,time-series freshwater dialysis bag mesocosm metagenomes,
PRJDB9383,Mus musculus,llm,Porphyromonas gingivalis impairs glucose uptake in muscle by altering gut microbiota,
PRJNA913689,Pisces,llm,Differences in the diversity and community structure of the intestinal microbiota of commercial fishes in the central and southern East China Sea in spring and autumn,
PRJDB7767,Homo sapiens,llm,Gut Microbiota dysbiosis leads to the development and progression of multiple sclerosis,
PRJNA629856,Sus scrofa,regex_title_only_no_abstract,Weaning Piglet Gut Microbiome,
PRJDB7630,,llm_unknown,Gut metagenome in cardiovascular diseases,
PRJNA495010,Sus scrofa,regex_title_only_no_abstract,bacterial community of environmental samples from pig farm,
PRJEB6921,,llm_unknown,Role_of_early_life_gut_microbiota_in_colonisation_resistance_development,
PRJNA1011201,Gallus gallus,regex_title_only_no_abstract,Protocol for on-site nanopore sequencing of chicken fecal samples,
PRJNA1332038,Gallus gallus,regex_title_only_no_abstract,Gut Microbiota of Babolna TetraSL chickens,
PRJDB15798,,llm_unknown,Novel sampling method optimized for fecal microbiota and metabolite preservation during storage,
PRJNA982394,Tachysurus fulvidraco,llm,Tachysurus fulvidraco Raw sequence reads,
PRJDB17227,Homo sapiens,regex_title_only_no_abstract,"Correlation analysis between EPS hydrolase, glycolysis, and SCFA production in human feces.",
PRJNA575543,Sus scrofa,regex_title_only_no_abstract,Metagenomic characterization of intestinal regions in pigs with contrasting feed efficiency,
PRJNA880353,,llm_unknown,Shallow shotgun sequencing of the microbiome recapitulates 16S amplicon results and provides functional insights,
PRJNA755866,,llm_unknown,Viruses in Bats,
PRJEB76409,,llm_unknown,Iron_Diet_Mouse_Study,
PRJEB81717,Homo sapiens,regex_title_only_no_abstract,Adult baboon fecal samples from the Amboseli ecosystem in Kenya,
PRJNA343584,Megalobrama amblycephala,llm,Megalobrama amblycephala Genome sequencing and assembly,
PRJNA293625,,llm_unknown,fish Raw sequence reads,
PRJDB4525,Homo sapiens,regex_title_only_no_abstract,Shotgun metagenomics of fecal bacterial consortium inhabiting healthy Asian children,
PRJNA1110045,Sus scrofa,regex_title_only_no_abstract,Colonic chyme of piglets Metagenome,
PRJNA779404,Sus scrofa,regex_title_only_no_abstract,Florfenicol treatment and the piglet gut microbiome,
PRJNA661076,,llm_unknown,Feces metagenome Metagenome,
PRJDB14457,Homo sapiens,regex_title_only_no_abstract,Gut microbiota of healthy Japanese adult,
PRJNA779106,Sus scrofa,regex_title_only_no_abstract,"Effects of Compound probiotics on Growth Performance, immune function, Intestinal microflora and Blood Metabolites of Suckling Piglets",
PRJDB37496,Homo sapiens,regex_title_only_no_abstract,Gut microbiome of 50 Japanese adults,
PRJNA1282711,Sus scrofa,regex_title_only_no_abstract,Swine microbiome samples treated with unprocessed and processed soybean meal,
PRJDB11394,Anas platyrhynchos,regex_title_only_no_abstract,Metagenomic sequencing analysis of duck fecal samples,
PRJEB81804,Sus scrofa,llm,Host depletion in pig and human colon samples,
PRJNA974094,Danio rerio,regex_title_only_no_abstract,Vitamin D Modulation of Brain-Gut-Virome Disorder Caused by Polystyrene Nanoplastics Exposure in Zebrafish (Danio rerio),
PRJNA1112422,,llm_unknown,SUCCESSFUL ESTABLISHMENT OF AN IN VITRO GASTROINTESTINAL MODEL SHOWING MICROBIOTA MODULATION BY PREBIOTICS,
PRJNA906507,Gallus gallus,llm,Taxonomic and metagenomic analyses define the development of the microbiota in the chick,
PRJNA1017798,Ochotona curzoniae,regex_title_only_no_abstract,Gut Microbiota Composition and Function in Plateau Pikas on the Qinghai_Tibetan Plateau,
PRJNA482836,Piaractus mesopotamicus,llm,Gut microbiome from Piaractus mesopotamicus Metagenome,
PRJNA818062,Homo sapiens,llm,the gut microbiome metagenomic of Tibetan subjects,
PRJNA1036376,,llm_unknown,faecel metagenome and cecal metagenome,
PRJEB46550,Gallus gallus,regex_title_only_no_abstract,HoloFood Chicken Caecum Metagenome – extreme sizes batch,
PRJNA1110616,Larimichthys crocea,llm,The gut microbiota of Larimichthys crocea (large yellow croaker) Raw sequence reads,
PRJNA670873,Gallus gallus,regex_title_only_no_abstract,chicken gut metagenome - raw sequence reads,
PRJNA948893,Acrossocheilus fasciatus,llm,Acrossocheilus fasciatus Transcriptome or Gene expression,
PRJNA650228,Homo sapiens,regex_title_only_no_abstract,Development of standard protocols for shotgun metagenomics analyses of human fecal microbiota (raw sequencing reads),
PRJEB18726,,llm_unknown,GD_MGS_title,
PRJDB32644,,llm_unknown,CRC gut microbe (PRJCA029983),
PRJNA668104,Sus scrofa,regex_title_only_no_abstract,Fecal microbiota transplantation on necrotizing enterocolitis in preterm piglets,
PRJNA347599,,llm_unknown,manure metagenome Raw sequence reads,
PRJNA601162,,llm_unknown,sample of a gut microbiome metagenomic sample Metagenome,
PRJEB39685,Meleagris gallopavo,llm,Gut Microbiomes of European Turkey and Veal Calf Herds,
PRJDB3293,,llm_unknown,pig_bacteria,
PRJNA291299,Gallus gallus,regex_title_only_no_abstract,Caecal microbiome metagenome of laying hens,
PRJNA947914,Salmo salar,regex_title_only_no_abstract,Atlantic salmon gut microbiome,
PRJNA1225188,Homo sapiens,regex_title_only_no_abstract,Precision Glycans Enhance Gamma-Aminobutyric Acid Production in Human Gut Model,
PRJNA722684,,llm_unknown,Research on diversity of gut microbes,
PRJNA756556,Homo sapiens,regex_title_only_no_abstract,Fiber Mixture for a Balanced Gut Microbiota and Human Health in Parkinson's Disease,
PRJNA983093,Homo sapiens,llm,Bifidobacterium lactis Probio-M8 treated and prevented acute RTI via regulating gut microbiota and metabolites.,
PRJNA874173,,llm_unknown,feces metagenome Raw sequence reads,
PRJNA825133,Gallus gallus,regex_title_only_no_abstract,Gallus gallus Metagenome,
PRJNA543206,Gallus gallus,regex_title_only_no_abstract,Chicken metagenome Raw sequence reads,
PRJNA877780,Mus musculus,regex_title_only_no_abstract,Mus musculus Raw sequence reads,
PRJNA1163371,Sus scrofa,regex_title_only_no_abstract,Structural and functional characterization of a porcine intestinal microbial ecosystem developed in vitro,
PRJDB36191,,llm_unknown,Metagenomic anlysis of Af colonization (PRJCA019345),
PRJNA400119,Sus scrofa,regex_title_only_no_abstract,pig gut metagenome Metagenome,
PRJNA741822,Homo sapiens,regex_title_only_no_abstract,Genome level reveals that probiotics supplementation can alleviate the clinical symptoms of patients with coronary heart disease,
PRJNA932541,,llm_unknown,Metabarcoding analysis for wild animals,
PRJNA371649,Sus scrofa,regex_title_only_no_abstract,Pig gut metagenome Raw sequence reads,
PRJNA812583,Homo sapiens,regex_title_only_no_abstract,Strain-level metagenomics reveal microbial transfer from donor to infant after fecal microbiota transplantation of pregnant patient,
PRJDB15857,Mus musculus,regex_title_only_no_abstract,Changes in the gut microbiome associated with domestication of mice,
PRJNA935053,Erythroculter erythropterus,llm,Utilizing next-generation sequencing to identify prey DNA in Erythroculter erythropterus,
PRJDB15623,Mus musculus,regex_title_only_no_abstract,Genetic mutation on Escherichia coli genome during adaptation to the murine intestine is optimized to the host's diet.,
PRJNA665253,Sus scrofa,regex_title_only_no_abstract,16S rRNA sequencing of swine fecal microbiota during the first three weeks after weaning Raw sequence reads,
PRJNA899060,Sus scrofa,regex_title_only_no_abstract,Metagenomic sequencing of antimicrobial treatments chlortetracycline and tiamulin in weaned swine,
PRJNA1010706,Sus scrofa,regex_title_only_no_abstract,Gut microbiome and resistome characterization of pigs treated with commonly used post-weaning diarrhea treatments,
PRJNA1049649,Pisces sp.,llm,Heavy metals and microplastic pollution in marine fishes with special emphasis on their gut microbiome,
PRJNA1232341,Sus scrofa,regex_title_only_no_abstract,Piglet fecal microbial 16S rRNA sequencing data,
PRJNA721235,Oryctolagus cuniculus,regex_title_only_no_abstract,Global study of microbial diversity on volcano rabbit feces,
PRJEB42464,Oncorhynchus mykiss,regex_title_only_no_abstract,Gut Microbiomes of European Farm Rainbow Trout,
PRJEB11419,Homo sapiens,llm,American Gut Project,
PRJNA564888,,llm_unknown,Boosting natural history research via metagenomic clean-up of crowdsourced faeces,
PRJNA338370,Gallus gallus,regex_title_only_no_abstract,chicken gut metagenome Raw sequence reads,
PRJNA825121,Penaeus vannamei,llm,shrimp gut metagenome Metagenome,
PRJNA492361,Pristis pectinata,llm,Smalltooth Sawfish feeding ecology study,
PRJNA298737,Gallus gallus,regex_title_only_no_abstract,Cecal microbiota of BC and FRC chicken targeted loci,
