study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	abstract	title	classification
PRJNA1063657	Escherichia coli			China:Inner Mongolia	52	WGS	pubmed	38792807.0	"1. Microorganisms. 2024 May 13;12(5):978. doi: 10.3390/microorganisms12050978.

Metagenomic and Antibiotic Resistance Analysis of the Gut Microbiota in Larus 
relictus and Anatidae Species Inhabiting the Honghaizi Wetland of Ordos, Inner 
Mongolia, from 2021 to 2023.

Huang R(1)(2)(3), Ji X(2)(3), Zhu L(2)(3), Zhang C(1)(2)(3), Luo T(4), Liang 
B(2)(3), Jiang B(2)(3), Zhou A(1), Du C(1), Sun Y(2)(3).

Author information:
(1)State Key Laboratory for Diagnosis and Treatment of Severe Zoonotic 
Infectious Diseases, Key Laboratory for Zoonosis Research of the Ministry of 
Education, Institute of Zoonosis, College of Veterinary Medicine, Jilin 
University, Changchun 130062, China.
(2)Changchun Veterinary Research Institute, Chinese Academy of Agricultural 
Sciences, Changchun 130122, China.
(3)Key Laboratory of Jilin Province for Zoonosis Prevention and Control, 
Changchun 130122, China.
(4)College of Animal Sciences, Jilin University, Changchun 130062, China.

Gut microbes thrive by utilising host energy and, in return, provide valuable 
benefits, akin to a symbiotic relationship. Here, metagenomic sequencing was 
performed to characterise and compare the community composition, diversity and 
antibiotic resistance of the gut microbiota of Relict gull (Larus relictus) and 
Anatidae species. Alpha diversity analysis revealed that the intestinal 
microbial richness of L. relictus was significantly lower than that of Anatidae, 
with distinct differences observed in microbial composition. Notably, the 
intestines of L. relictus harboured more pathogenic bacteria such as 
clostridium, which may contribute to the decline in their population and 
endangered status. A total of 117 strains of Escherichia coli were isolated, 
with 90.60% exhibiting full susceptibility to 21 antibiotics, while 25.3% 
exhibited significant biofilm formation. Comprehensive Antibiotic Resistance 
Database data indicated that glycopeptide resistance genes were the most 
prevalent type carried by migratory birds, alongside quinolone, tetracycline and 
lincosamide resistance genes. The abundance of resistance genes carried by 
migratory birds decreased over time. This metagenomic analysis provides valuable 
insights into the intestinal microbial composition of these wild bird species, 
offering important guidance for their conservation efforts, particularly for L. 
relictus, and contributing to our understanding of pathogen spread and 
antibiotic-resistant bacteria.

DOI: 10.3390/microorganisms12050978
PMCID: PMC11123678
PMID: 38792807

Conflict of interest statement: The authors declare no conflicts of interest."	Intestinal metagenomic data of migratory birds	YES_regex
PRJEB55462				Hong Kong	294	WGS	ena_only			Hong Kong Travelers gut microbiota shotgun metagenomic sequence	YES_regex
PRJNA694380	Sus scrofa domesticus	9825.0		Thailand: Prachin Buri	2	WGS	ena_only			Metagenomics of antimicrobial and heavy metal resistance in the cecal microbiome of fattening pigs raised without antibiotics	YES_regex
PRJNA908720	Canine			China:Yushu,Qinghai/Guoluo,Qinghai	1	WGS	pubmed	37724888.0	"1. mSphere. 2023 Oct 24;8(5):e0034523. doi: 10.1128/msphere.00345-23. Epub 2023
Sep  19.

Virome of high-altitude canine digestive tract and genetic characterization of 
novel viruses potentially threatening human health.

Jiang X(#)(1), Liu J(#)(2), Xi Y(#)(1), Zhang Q(2), Wang Y(2), Zhao M(1), Lu 
X(1), Wu H(2), Shan T(3), Ni B(1), Zhang W(1), Ma X(2).

Author information:
(1)Department of Microbiology, School of Medicine, Jiangsu University , 
Zhenjiang, Jiangsu, China.
(2)Qinghai Institute of Endemic Disease Prevention and Control , Xining, 
Qinghai, China.
(3)Shanghai Veterinary Research Institute, Chinese Academy of Agricultural 
Sciences , Shanghai, China.
(#)Contributed equally

The majority of currently emerging infectious illnesses are zoonotic infections, 
which have caused serious public health and economic implications. The 
development of viral metagenomics has helped us to explore unknown viruses. We 
collected 1,970 canine feces from Yushu and Guoluo in the plateau region of 
China for this study to do a metagenomics analysis of the viral community of the 
canine digestive tract. Our analysis identified 203 novel viruses, classified 
into 11 known families and 2 unclassified groups. These viruses include the 
hepatitis E virus, first identified in dogs, and the astrovirus, coronavirus, 
polyomavirus, and others. The relationship between the newly identified canine 
viruses and known viruses was investigated through the use of phylogenetic 
analysis. Furthermore, we demonstrated the cross-species transmission of viruses 
and predicted new viruses that may cause diseases in both humans and animals, 
providing technical support for the prevention and control of diseases caused by 
environmental pollution viruses. IMPORTANCE Most emerging infectious diseases 
are due to zoonotic disease agents. Because of their effects on the security of 
human or animal life, agriculture production, and food safety, zoonotic 
illnesses and livestock diseases are of worldwide significance. Because dogs are 
closely related to humans and domestic animals, they serve as one of the 
important links in the transmission of zoonotic and livestock diseases. Canines 
can contaminate the environment in which humans live such as water and soil 
through secretions, potentially altering the human gut microbiota or causing 
diseases. Our study enriched the viral community in the digestive tract 
microbiome of dogs and found types of viruses that threaten human health, 
providing technical support for the prevention and control of early warning of 
diseases caused by environmental contaminant viruses.

DOI: 10.1128/msphere.00345-23
PMCID: PMC10597464
PMID: 37724888 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."	canine metagenome Genome sequencing	YES_regex
PRJNA347599	Gallus gallus	9031.0		China: Guangzhou	12	WGS	ena_only			manure metagenome Raw sequence reads	YES_regex
PRJNA447857	Fish			Mexico	14	WGS	ena_only			Cuatro Cienegas viral metagenome	YES_regex
PRJEB50568				Ecuador	119	WGS	pubmed	36202201.0	"1. J Glob Antimicrob Resist. 2022 Dec;31:212-215. doi:
10.1016/j.jgar.2022.09.009.  Epub 2022 Oct 3.

Evaluation of changes in the faecal resistome associated with children's 
exposure to domestic animals and food animal production.

Cifuentes SG(1), Graham J(2), Loayza F(1), Saraiva C(1), Salinas L(1), Trueba 
G(1), Cárdenas PA(3).

Author information:
(1)Universidad San Francisco de Quito USFQ, Colegio de Ciancias Biológicas y 
Ambientales, Instituto de Microbiología, Quito, Pichincha, Ecuador.
(2)Environmental Health Sciences Division, University of California, Berkeley, 
California.
(3)Universidad San Francisco de Quito USFQ, Colegio de Ciancias Biológicas y 
Ambientales, Instituto de Microbiología, Quito, Pichincha, Ecuador. Electronic 
address: pacardenas@usfq.edu.ec.

OBJECTIVES: The paediatric gut microbiota is a reservoir of antimicrobial 
resistance genes. Environmental factors such as a child's exposure to faecal 
contamination and antimicrobial resistance genes of animal origin likely shape 
the resistome of infants and children. This study measured how different levels 
of exposure to domestic or food animals affect the structure of the intestinal 
resistome in children between 1 and 7 years of age.
METHODS: One hundred nineteen faecal samples from 39 children were analysed 
according to the level of exposure to domestic or food animals and categorized 
into three risk groups. Using high-throughput sequencing with an Illumina 
NovaSeq 6000 SP platform, we performed faecal resistome analyses using the 
ResFinder database. Additionally, ResistoXplorer was used to characterize the 
resistomes of children differentially exposed to domestic animals.
RESULTS: Our data indicated that specific antimicrobial resistance genes such as 
those that confer resistance to MATFPR (macrolide, aminoglycoside, tetracycline, 
fluoroquinolone, phenicol, and rifamycin) and tetracyclines were statistically 
less abundant in the group of children without exposure to animals (group 2), 
compared with the groups exposed to domestic and food animals (groups 1 and 3). 
However, the overall resistome structure among the children was not affected by 
the different levels of exposure to animals.
CONCLUSIONS: This study suggests that animal exposure is a risk factor for young 
children acquiring specific antimicrobial resistance genes from domestic animals 
or animal production areas. However, the overall resistome structure was not 
affected.

Copyright © 2022 The Author(s). Published by Elsevier Ltd.. All rights reserved.

DOI: 10.1016/j.jgar.2022.09.009
PMCID: PMC9850782
PMID: 36202201 [Indexed for MEDLINE]

Conflict of interest statement: Competing interests None declared"	Pediatric gut resistome	YES_regex
PRJEB37731	vaginal metagenome		vagina	Denmark	1000	WGA	ena_only			Effects of the menstrual cycle and hormonal contraceptives on the human microbiome	YES_regex
PRJEB46806	Gallus gallus			Sweden	51	WGS	pubmed	36619855.0	"1. Adv Genet (Hoboken). 2021 Dec 9;2(4):2100018. doi: 10.1002/ggn2.202100018. 
eCollection 2021 Dec.

Gut Microbiota Linked with Reduced Fear of Humans in Red Junglefowl Has 
Implications for Early Domestication.

Puetz LC(1), Delmont TO(2), Aizpurua O(1), Guo C(3), Zhang G(3)(4)(5)(6), 
Katajamaa R(7), Jensen P(7), Gilbert MTP(1)(8).

Author information:
(1)Center for Evolutionary Hologenomics GLOBE Institute University of Copenhagen 
Copenhagen 1353 Denmark.
(2)Génomique Métabolique Genoscope Institut François Jacob CEA CNRS Univ Evry 
Université Paris-Saclay Evry 91057 France.
(3)China National GeneBank BGI-Shenzhen Shenzhen 518083 China.
(4)Villum Center for Biodiversity Genomics, Section for Ecology and Evolution, 
Department of Biology University of Copenhagen Copenhagen 2100 Denmark.
(5)State Key Laboratory of Genetic Resources and Evolution Kunming Institute of 
Zoology Chinese Academy of Sciences Kunming 650223 China.
(6)Center for Excellence in Animal Evolution and Genetics Chinese Academy of 
Sciences Kunming 650223 China.
(7)IFM Biology, AVIAN Behaviour Genomics and Physiology Group Linköping 
University Linköping 58330 Sweden.
(8)Department of Natural History, NTNU University Museum Norwegian University of 
Science and Technology (NTNU) Trondheim 7491 Norway.

Domestication of animals can lead to profound phenotypic modifications within 
short evolutionary time periods, and for many species behavioral selection is 
likely at the forefront of this process. Animal studies have strongly implicated 
that the gut microbiome plays a major role in host behavior and cognition 
through the microbiome-gut-brain axis. Consequently, herein, it is hypothesized 
that host gut microbiota may be one of the earliest phenotypes to change as wild 
animals were domesticated. Here, the gut microbiome community in two selected 
lines of red junglefowl that are selected for either high or low fear of humans 
up to eight generations is examined. Microbiota profiles reveal taxonomic 
differences in gut bacteria known to produce neuroactive compounds between the 
two selection lines. Gut-brain module analysis by means of genome-resolved 
metagenomics identifies enrichment in the microbial synthesis and degradation 
potential of metabolites associated with fear extinction and reduces 
anxiety-like behaviors in low fear fowls. In contrast, high fear fowls are 
enriched in gut-brain modules from the butyrate and glutamate pathways, 
metabolites associated with fear conditioning. Overall, the results identify 
differences in the composition and functional potential of the gut microbiota 
across selection lines that may provide insights into the mechanistic 
explanations of the domestication process.

© 2021 The Authors. Advanced Genetics published by Wiley Periodicals LLC.

DOI: 10.1002/ggn2.202100018
PMCID: PMC9744516
PMID: 36619855

Conflict of interest statement: The authors declare no conflict of interest."	Gut microbiota linked with reduced fear of humans in Red Junglefowl has implications for early domestication	YES_regex
PRJNA1298833	Canis lupus familiaris	9615.0		China:Sichuan,Chengdu	4	WGS	pubmed	41012834.0	"1. Vet Sci. 2025 Sep 18;12(9):909. doi: 10.3390/vetsci12090909.

Effects and Microbiota Changes Following Oral Lyophilized Fecal Microbiota 
Transplantation Capsules in Canine with Chronic Enteropathy After Parvovirus 
Infection: Case Report.

Liu S(1), Zhou B(2)(3), Liu L(2)(3), Zhong J(4), Zhang X(5), Jiang W(6), Liu 
H(1), Zhou Z(1), Peng G(1), Zhong Y(1), Zhang K(1), Zhong Z(1).

Author information:
(1)Key Laboratory of Animal Disease and Human Health of Sichuan, College of 
Veterinary Medicine, Sichuan Agricultural University, Chengdu 611130, China.
(2)Sichuan Anaerobic Biotechnology Co., Ltd., Chengdu 610200, China.
(3)Chengdu LifeMicro Technology Co., Ltd., Chengdu 610213, China.
(4)Biogas Institute of Ministry of Agriculture and Rural Affairs, Chengdu 
610041, China.
(5)College of Veterinary Medicine, Beijing University of Agriculture, Beijing 
102206, China.
(6)College of Landscape Architecture, Sichuan Agricultural University, Chengdu 
611130, China.

(1) Background: Chronic enteropathy (CE) in canines is associated with 
persistent microbiome dysbiosis, and conventional therapies (e.g., special 
diets, antimicrobials, and immunosuppressive drugs) are sometimes ineffective. 
Currently, fecal microbiota transplantation (FMT) has proven successful in 
treating CE in canines via invasive methods (e.g., enemas or endoscopy) or via 
oral frozen liquid capsules, which must be stored at -80 °C. However, due to the 
invasiveness of the administration methods and the storage constraints of the 
liquid capsules, FMT is not widely used in veterinary clinical practice. (2) 
Methods: The case of a four-year-old Siberian Husky with a three-year history of 
CE following canine parvovirus infection received lyophilized FMT capsules for 
thirty days. Stool samples were collected for metagenomic sequencing and 
quantification of fecal short-chain fatty acids (SCFAs), both pre- and post-FMT. 
Blood samples were analyzed using complete blood count (CBC) and biochemical 
testing. Ultrasound was used to assess the wall thickness of the stomach, 
duodenum, jejunum, and colon. (3) Results: Post-FMT, improvements in clinical 
outcomes were observed: fecal scores improved from 6 (unformed stools with 
mucus) to 2 (formed stool), and body weight increased by 8.3% (from 24.2 kg to 
26.2 kg). Abnormal CBC and biochemical parameters were restored to reference 
ranges, including hematocrit (from 60.6% to 55.7%), hemoglobin (from 208 g/L to 
190 g/L), creatinine (from 167 μmol/L to 121 μmol/L), and urea (from 11.9 mmol/L 
to 7.1 mmol/L). Ultrasound results showed that colonic wall thickness decreased 
from 0.23 ± 0.03 cm (pathological) to 0.18 ± 0.01 cm (physiological). 
Metagenomic analysis revealed that microbial richness (operational taxonomic 
units (OTUs) from 151 to 183) and diversity (Shannon and Simpson indices from 
3.16 to 4.8 and from 0.87 to 0.94, respectively) all increased. The microbiota 
composition of the recipient exhibited a decline in the relative abundance of 
Firmicutes, falling from 99.84% to 35.62%, concomitant with an increase in 
Actinobacteria (from 0.08% to 4.78%), indicating a convergence toward a 
donor-like profile. Fecal SCFAs analysis revealed a 251.4% increase in 
propionate (from 0.0833 to 0.2929 mg/g) and elevated acetate (from 0.4425 to 
0.4676 mg/g). These changes are functionally linked to enriched propanoate 
metabolism (Z = 0.89) in KEGG pathways. (4) Conclusions: Oral lyophilized FMT 
capsules resolved clinical signs of CE, enhanced microbial diversity and 
richness, and restored donor-like abundances of gut microbiota, particularly 
SCFA-producing taxa. Microbial restructuring increased microbial metabolite 
output, notably SCFA concentrations, and enriched functional metabolic pathways. 
Importantly, lyophilized FMT overcomes storage limitations and administration 
barriers, demonstrating its high clinical viability for treating canine CE.

DOI: 10.3390/vetsci12090909
PMCID: PMC12474058
PMID: 41012834

Conflict of interest statement: Baihui Zhou and Lei Liu are employees (and owns 
stock) in Sichuan Anaerobic Biotechnology Co., Ltd. and Chengdu LifeMicro 
Technology Co., Ltd. The remaining authors have no conflicts of interest to 
declare."	Effects and microbiota changes following oral lyophilized fecal microbiota transplantation capsules in canine with chronic enteropathy: A case report	YES_regex
PRJNA1034944	Canis lupus			China:Yangzhou	26	WGS	ena_only			Fecal microbiota of zoo animals raw sequence reads	YES_regex
PRJDB10829	Homo sapiens	9606.0		Japan	112	WGS	ena_only			Generic sample from human gut metagenome	YES_regex
PRJNA559605	Panthera tigris tigris			India:Bhopal	21	WGS	pubmed	32582053.0	"1. Front Microbiol. 2020 Jun 4;11:1012. doi: 10.3389/fmicb.2020.01012.
eCollection  2020.

The Gene Catalog and Comparative Analysis of Gut Microbiome of Big Cats Provide 
New Insights on Panthera Species.

Mittal P(1), Saxena R(1), Gupta A(2), Mahajan S(1), Sharma VK(1).

Author information:
(1)Metagenomics and Systems Biology Group, Department of Biological Sciences, 
Indian Institute of Science Education and Research Bhopal, Bhopal, India.
(2)Van Vihar National Park, Bhopal, India.

Majority of metagenomic studies in the last decade have focused on revealing the 
gut microbiomes of humans, rodents, and ruminants; however, the gut microbiome 
and genic information (gene catalog) of large felids such as Panthera species 
are largely unknown to date. In this study, the gut bacterial, fungal, and viral 
metagenomic composition was assessed from three Panthera species (lion, leopard, 
and tiger) of Indian origin, which were consuming the same diet and belonged to 
the same geographical location. A non-redundant bacterial gene catalog of the 
Panthera gut consisting of 1,507,035 putative genes was constructed from 27 
Panthera individuals, which revealed a higher abundance of purine metabolism 
genes correlating with their purine-rich dietary intake. Analysis with 
Carbohydrate Active enZyme (CAZy) and MEROPS databases identified enrichment of 
glycoside hydrolases (GHs), glycoside-transferases, and collagenases in the gut, 
which are important for nutrient acquisition from animal biomass. The bacterial, 
fungal, and viral community analysis provided the first comprehensive insights 
into the Panthera-specific microbial community. The Panthera gene catalog and 
the largest comparative study of the gut bacterial composition of 68 individuals 
of Carnivora species from different geographical locations and diet underscore 
the role of diet and geography in shaping the Panthera gut microbiome, which is 
significant for the health and conservation management of these highly 
endangered species.

Copyright © 2020 Mittal, Saxena, Gupta, Mahajan and Sharma.

DOI: 10.3389/fmicb.2020.01012
PMCID: PMC7287027
PMID: 32582053"	Gut microbiome of Panthera (P. pardus, P. tigris, P. leo)	YES_regex
PRJDB2552					1	WGS	ena_only			Metgenomic analysis of human gut microbiome in patients with multiple sclerosis (MS).	YES_regex
PRJNA1116578	Mice			China: Beijing	96	WGS	pubmed	39519025.0	"1. Int J Mol Sci. 2024 Oct 25;25(21):11472. doi: 10.3390/ijms252111472.

Longitudinal and Multi-Kingdom Gut Microbiome Alterations in a Mouse Model of 
Alzheimer's Disease.

Zhang T(1)(2)(3)(4), Zhao C(1)(2)(3)(4), Li N(1)(2)(3)(4), He Q(1)(2)(3)(4), Gao 
G(1)(2)(3)(4), Sun Z(1)(2)(3)(4).

Author information:
(1)Key Laboratory of Dairy Biotechnology and Engineering, Ministry of Education, 
Inner Mongolia Agricultural University, Hohhot 010018, China.
(2)Key Laboratory of Dairy Products Processing, Ministry of Agriculture and 
Rural Affairs, Inner Mongolia Agricultural University, Hohhot 010018, China.
(3)Inner Mongolia Key Laboratory of Dairy Biotechnology and Engineering, Inner 
Mongolia Agricultural University, Hohhot 010018, China.
(4)Collaborative Innovative Center for Lactic Acid Bacteria and Fermented Dairy 
Products, Ministry of Education, Inner Mongolia Agricultural University, Hohhot 
010018, China.

Gut microbial dysbiosis, especially bacteriome, has been implicated in 
Alzheimer's disease (AD). However, nonbacterial members of the gut microbiome in 
AD, such as the mycobiome, archaeome, and virome, are unexplored. Here, we 
perform higher-resolution shotgun metagenomic sequencing on fecal samples 
collected longitudinally from a mouse model of AD to investigate longitudinal 
and multi-kingdom gut microbiome profiling. Shotgun metagenomic sequencing of 
fecal samples from AD mice and healthy mice returns 41,222 bacterial, 414 
fungal, 1836 archaeal, and 1916 viral species across all time points. The 
ecological network pattern of the gut microbiome in AD mice is characterized by 
more complex bacterial-bacterial interactions and fungal-fungal interactions, as 
well as simpler archaeal-archaeal interactions and viral-viral interactions. The 
development of AD is accompanied by multi-kingdom shifts in the gut microbiome 
composition, as evidenced by the identification of 1177 differential bacterial, 
84 differential fungal, 59 differential archaeal, and 10 differential viral 
species between healthy and AD mice across all time points. In addition, the 
functional potential of the gut microbiome is partially altered in the 
development of AD. Collectively, our findings uncover longitudinal and 
multi-kingdom gut microbiome alterations in AD and provide a motivation for 
considering microbiome-based therapeutics during the prevention and treatment of 
AD.

DOI: 10.3390/ijms252111472
PMCID: PMC11546883
PMID: 39519025 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."	Gut microbiome profiling of Alzheimer's disease	YES_regex
PRJEB81553	Mus musculus;Mus musculus castaneus	10091.0	UBERON:feces	USA;USA:CA:Pasadena	288	WGS	ena_only			Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project	YES_regex
PRJNA1026631	Homo sapiens	9606.0		USA: Maywood, IL	83	WGS	ena_only			Female Urogenital & Rectal Microbiomes of Individuals with UTI Symptoms Metagenome	YES_regex
PRJEB20308	Canis lupus familiaris	9615.0			129	WGS	pubmed	29669589.0	"1. Microbiome. 2018 Apr 19;6(1):72. doi: 10.1186/s40168-018-0450-3.

Similarity of the dog and human gut microbiomes in gene content and response to 
diet.

Coelho LP(1), Kultima JR(1), Costea PI(1), Fournier C(2), Pan Y(3), 
Czarnecki-Maulden G(3), Hayward MR(1), Forslund SK(1), Schmidt TSB(1), Descombes 
P(2), Jackson JR(3), Li Q(4), Bork P(5)(6)(7).

Author information:
(1)Structural and Computational Biology Unit, European Molecular Biology 
Laboratory, Heidelberg, Germany.
(2)Nestlé Institute of Health Sciences, Lausanne, Switzerland.
(3)Nestlé Purina Research, St. Louis, MO, USA.
(4)Nestlé Purina Research, St. Louis, MO, USA. Qinghong.li@rd.nestle.com.
(5)Structural and Computational Biology Unit, European Molecular Biology 
Laboratory, Heidelberg, Germany. bork@embl.de.
(6)Max Delbrück Centre for Molecular Medicine, 13125, Berlin, Germany. 
bork@embl.de.
(7)Department of Bioinformatics, Biocenter, University of Würzburg, 97074, 
Würzburg, Germany. bork@embl.de.

BACKGROUND: Gut microbes influence their hosts in many ways, in particular by 
modulating the impact of diet. These effects have been studied most extensively 
in humans and mice. In this work, we used whole genome metagenomics to 
investigate the relationship between the gut metagenomes of dogs, humans, mice, 
and pigs.
RESULTS: We present a dog gut microbiome gene catalog containing 1,247,405 genes 
(based on 129 metagenomes and a total of 1.9 terabasepairs of sequencing data). 
Based on this catalog and taxonomic abundance profiling, we show that the dog 
microbiome is closer to the human microbiome than the microbiome of either pigs 
or mice. To investigate this similarity in terms of response to dietary changes, 
we report on a randomized intervention with two diets 
(high-protein/low-carbohydrate vs. lower protein/higher carbohydrate). We show 
that diet has a large and reproducible effect on the dog microbiome, independent 
of breed or sex. Moreover, the responses were in agreement with those observed 
in previous human studies.
CONCLUSIONS: We conclude that findings in dogs may be predictive of human 
microbiome results. In particular, a novel finding is that overweight or obese 
dogs experience larger compositional shifts than lean dogs in response to a 
high-protein diet.

DOI: 10.1186/s40168-018-0450-3
PMCID: PMC5907387
PMID: 29669589 [Indexed for MEDLINE]

Conflict of interest statement: ETHICS APPROVAL: The animal study protocol was 
reviewed and approved by the Animal Care and Use Committee of the Nestlé Purina 
PetCare Company. CONSENT FOR PUBLICATION: Not applicable. COMPETING INTERESTS: 
Nestlé Purina PetCare Company partially funded this research. The following 
authors are employees of the company: Coralie Fournier, Yuanlong Pan, Gail 
Czarnecki-Maulden, Patrick Descombes, Janet R. Jackson, and Qinghong Li. 
PUBLISHER’S NOTE: Springer Nature remains neutral with regard to jurisdictional 
claims in published maps and institutional affiliations."	Similarity of the dog and human gut microbiomes in gene content and response to diet	YES_regex
PRJEB44024	Bos Taurus			Norway	18	WGS	pubmed	39385092.0	"1. BMC Microbiol. 2024 Oct 9;24(1):399. doi: 10.1186/s12866-024-03563-3.

Detection and characterization of Campylobacter in air samples from poultry 
houses using shot-gun metagenomics - a pilot study.

Haverkamp THA(1), Spilsberg B(2), Johannessen GS(2), Torp M(2), Sekse C(2).

Author information:
(1)Norwegian Veterinary Institute, Oslo, Norway. thomas.haverkamp@vetinst.no.
(2)Norwegian Veterinary Institute, Oslo, Norway.

BACKGROUND: Foodborne pathogens such as Campylobacter jejuni are responsible for 
a large proportion of the gastrointestinal infections worldwide associated with 
poultry meat. Campylobacter spp. can be found in the chicken fecal microbiome 
and can contaminate poultry meat during the slaughter process. Commonly used 
sampling methods to detect Campylobacter spp. at poultry farms use fecal 
droppings or boot swabs in combination with conventional culture techniques or 
PCR. In this pilot study, we have used air filtering and filters spiked with 
mock communities in combination with shotgun metagenomics to detect 
Campylobacter and test the applicability of this approach for the detection and 
characterization of foodborne pathogens. To the best of our knowledge is this 
the first study that combines air filtering with shotgun metagenomic sequencing 
for detection and characterization of Campylobacter.
RESULTS: Analysis of air filters spiked with different levels of Campylobacter, 
into a background of mock or poultry house communities, indicated that we could 
detect as little as 200 colony forming units (CFU) Campylobacter per sample 
using our protocols. The results indicate that even with limited sequencing 
effort we could detect Campylobacter in the samples analysed in this study. We 
observed significant amounts of Campylobacter in real-life samples from poultry 
houses using both real-time PCR as well as shotgun metagenomics, suggesting that 
the flocks in both houses were infected with Campylobacter spp. Interestingly, 
in both houses we find diverse microbial communities present in the indoor air 
which reflect the fecal microbiome of poultry. Some of the identified genera 
such as Staphylococcus, Escherichia and Pseudomonas are known to contain 
opportunistic pathogenic species.
CONCLUSIONS: These results show that air sampling of poultry houses in 
combination with shotgun metagenomics can detect and identify Campylobacter spp. 
present at low levels. This is important since early detection of Campylobacter 
enables measures to be put in place to ensure the safety of broiler products, 
animal health and public health. This approach has the potential to detect any 
pathogen present in poultry house air.

© 2024. The Author(s).

DOI: 10.1186/s12866-024-03563-3
PMCID: PMC11462905
PMID: 39385092 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests."	Detection of Campylobacter in air samples from poultry houses using shot-gun metagenomics – a pilot study	YES_regex
PRJDB18359	Homo sapiens	9606.0		Japan:Tokyo, Shinjuku	45	WGS	ena_only			Gut microbiota of dietary intervention study	YES_regex
PRJEB38343	fish gut metagenome				48	WGS	ena_only			The microbiome of deep-sea fish reveals new microbial species and a sparsity of antibiotic resistance genes	YES_regex
PRJNA1148165	Homo sapiens	9606.0		USA: Princeton, NJ	46	WGS	pubmed	39947133.0	"1. Cell Host Microbe. 2025 Feb 12;33(2):218-234.e12. doi: 
10.1016/j.chom.2025.01.002.

A meta-analysis of the gut microbiome in inflammatory bowel disease patients 
identifies disease-associated small molecules.

Elmassry MM(1), Sugihara K(2), Chankhamjon P(1), Kim Y(2), Camacho FR(3), Wang 
S(4), Sugimoto Y(1), Chatterjee S(1), Chen LA(5), Kamada N(6), Donia MS(7).

Author information:
(1)Department of Molecular Biology, Princeton University, Princeton, NJ 08544, 
USA.
(2)Division of Gastroenterology and Hepatology, Department of Internal Medicine, 
University of Michigan, Ann Arbor, MI 48109, USA.
(3)Lewis-Sigler Institute for Integrative Genomics, Princeton University, 
Princeton, NJ 08544, USA.
(4)Department of Chemical and Biological Engineering, Princeton University, 
Princeton, NJ 08544, USA.
(5)Department of Medicine, Division of Gastroenterology and Hepatology, Rutgers 
Robert Wood Johnson Medical School, New Brunswick, NJ 08901, USA.
(6)Division of Gastroenterology and Hepatology, Department of Internal Medicine, 
University of Michigan, Ann Arbor, MI 48109, USA; Department of Pathology, 
University of Michigan, Ann Arbor, MI 48109, USA; WPI Immunology Frontier 
Research Center, Osaka University, Suita, Osaka 565-0871, Japan.
(7)Department of Molecular Biology, Princeton University, Princeton, NJ 08544, 
USA; Department of Chemical and Biological Engineering, Princeton University, 
Princeton, NJ 08544, USA. Electronic address: donia@princeton.edu.

Update of
    bioRxiv. 2024 Feb 08:2024.02.07.579278. doi: 10.1101/2024.02.07.579278.

Gut microbiome changes have been associated with several human diseases, but the 
molecular and functional details underlying these associations remain largely 
unknown. Here, we performed a meta-analysis of small molecule biosynthetic gene 
clusters (BGCs) in metagenomic samples of the gut microbiome from inflammatory 
bowel disease (IBD) patients and matched healthy subjects and identified two 
Clostridia-derived BGCs that are significantly associated with Crohn's disease 
(CD), a main IBD type. Using synthetic biology, we discovered and solved the 
structures of six fatty acid amides as the products of the CD-enriched BGCs, 
which we subsequently detected in fecal samples from IBD patients. Finally, we 
show that the discovered molecules disrupt gut permeability and exacerbate 
disease in chemically or genetically susceptible mouse models of colitis. These 
findings suggest that microbiome-derived small molecules may play a role in the 
etiology of IBD and represent a generalizable approach for discovering molecular 
mediators of disease-relevant microbiome-host interactions.

Copyright © 2025 Elsevier Inc. All rights reserved.

DOI: 10.1016/j.chom.2025.01.002
PMCID: PMC12268991
PMID: 39947133 [Indexed for MEDLINE]

Conflict of interest statement: Declaration of interests M.S.D. is a scientific 
co-founder and CSO at Pragma Biosciences."	Gut metagenomic samples of IBD patients	YES_regex
PRJDB36826	Homo sapiens	9606.0		missing: data agreement established pre-2023	72	WGS	ena_only			Metagenomic data of the gut microbiota in healthy young individuals (PRJCA040384)	YES_regex
