study_accession	host_species	host_tax_id	n_samples	library_strategy	library_source	body_site	country	data_source	pmid	paper_title	doi	journal	pub_year	classification_final	host_kingdom	host_phylum	host_class	host_order	host_family	host_genus	host_species_taxonomy	llm_confidence	llm_body_site_signal	llm_evidence
PRJEB82776	Sus scrofa	9823	279	WGS	METAGENOMIC		Spain	pubmed_metagenom_b1	42282812	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	10.64898/2026.06.01.729425	bioRxiv : the preprint server for biology	2026.0	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	medium	inferred	library_source: METAGENOMIC; library_strategy: WGS; Host organism: Sus scrofa (pig); Paper title mentions 'gut microbiomes' and 'bilirubin reduction' (a gut microbial function); Biome label: 'pig metagenome'
PRJNA1056763	Bos taurus	9913	327	WGS	METAGENOMIC		USA:Ohio	pubmed_metagenom_b1	42282812	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	10.64898/2026.06.01.729425	bioRxiv : the preprint server for biology	2026.0	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	high	explicit	ENA study title: 'Shotgun metagenomic sequencing of bovine gut microbiome: rectal swab'; Sample title(s): 'Shotgun metagenomic sequencing of bovine gut microbiome: rectal swab'; library_strategy: WGS; library_source: METAGENOMIC; Biome label: 'bovine gut metagenome'; Host organism: Bos taurus
PRJNA1212753	Canis lupus familiaris		60	WGS	METAGENOMIC		USA: Illinois	pubmed_metagenom_b1	42282812	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	10.64898/2026.06.01.729425	bioRxiv : the preprint server for biology	2026.0	YES								medium	inferred	library_source: METAGENOMIC; library_strategy: WGS; host organism: Canis lupus familiaris (domestic dog); paper title mentions 'bilirubin reduction across vertebrate gut microbiomes'
PRJNA1367213	Ovis aries		109	WGS	METAGENOMIC		China:Langshan	pubmed_metagenom_b1	42282812	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	10.64898/2026.06.01.729425	bioRxiv : the preprint server for biology	2026.0	YES								high	explicit	ENA study title states 'Metagenomic sequencing of different gastrointestinal segments in sheep'; paper title mentions 'gut microbiomes'; library_source=METAGENOMIC; library_strategy=WGS; host organism is Ovis aries (sheep).
PRJNA795985	Homo sapiens	9606	290	WGS	GENOMIC		USA: Davis, California	pubmed_metagenom_b1	42282812	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	10.64898/2026.06.01.729425	bioRxiv : the preprint server for biology	2026.0	YES	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	high	explicit	Isolation source: 'feces'; ENA study title: 'human gut metagenome'; Biome label: 'human gut metagenome'; library_strategy: 'WGS'; library_source: 'GENOMIC'; Host organism: 'Homo sapiens'
PRJNA988023	Meleagris gallopavo	9103	90	WGS	METAGENOMIC		USA: Ames, Iowa	pubmed_metagenom_b1	42282812	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	10.64898/2026.06.01.729425	bioRxiv : the preprint server for biology	2026.0	YES	Metazoa	Chordata	Aves	Galliformes	Phasianidae	Meleagris	Meleagris gallopavo	high	explicit	Isolation source: 'cecal contents' and 'pooled cecal contents'; ENA study title: 'MIMS Environmental/Metagenome sample from gut metagenome'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Host: Meleagris gallopavo (turkey)
PRJNA1475489	Homo sapiens	9606	39	WGS	METAGENOMIC		USA	pubmed_metagenom_b1	42282268	Brain health and the gut microbiome (bMicrobiome Study): a proof-of-concept, feasibility study integrating shotgun metagenomics, metrology, and multidimensional phenotyping across the cognitive aging spectrum.	10.1080/29933935.2026.2679810	Gut microbes reports	2026.0	YES	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	high	explicit	ENA study title: 'Human Stool'; Biome label: 'human gut metagenome'; Sample title: 'Human Stool'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1320715	Mus musculus	10090	66	WGS	METAGENOMIC		Germany: Ulm	pubmed_metagenom_b1	42249511	Aging of the adaptive immune system affects the gut microbiome and systemic levels of vitamin B6.	10.1186/s40168-026-02428-3	Microbiome	2026.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source: 'stool'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; host organism: 'Mus musculus'; paper title mentions 'gut microbiome'
PRJNA1097789	Drosophila melanogaster	7227	4	WCS	METAGENOMIC		Germany	pubmed_metagenom_b1	42244002	A diverse gut virome in natural populations of Drosophila melanogaster.	10.1186/s42523-026-00585-2	Animal microbiome	2026.0	YES	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila melanogaster	medium	inferred	Paper title: 'A diverse gut virome in natural populations of Drosophila melanogaster'; library_source: METAGENOMIC; library_strategy: WCS (shotgun); Host organism: Drosophila melanogaster
PRJEB106514	Panthera leo	9689	23	WGS	METAGENOMIC		Namibia	pubmed_metagenom_b1	42147179	The Gut Microbiome Profile of Lions in Etosha National Park, Namibia.	10.21203/rs.3.rs-9092464/v1	Research square	2026.0	YES	Metazoa	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo	medium	inferred	Paper title: 'The Gut Microbiome Profile of Lions in Etosha National Park, Namibia'; library_source: METAGENOMIC; library_strategy: WGS; host_organism: Panthera leo (lion)
PRJNA1399069			30	WGS	METAGENOMIC			pubmed_metagenom_b1	42139081	Dietary niches drive microbial community assembly, network reorganization, and symbiont evolution in freshwater fish gut microbiomes.	10.1093/ismejo/wrag125	The ISME journal	2026.0	YES								high	explicit	Paper title explicitly states 'freshwater fish gut microbiomes'; library_source: METAGENOMIC; library_strategy: WGS
PRJEB88111	Sus scrofa		108	WGS	METAGENOMIC		Denmark	pubmed_metagenom_b1	42050727	Metagenomics provides broad detection of pathogens, antimicrobial resistance, and virulence genes in pig diarrhoea and complement conventional methods.	10.1186/s42523-026-00577-2	Animal microbiome	2026.0	YES								high	explicit	Isolation source(s): faeces; library_source: METAGENOMIC; library_strategy: WGS; Paper title mentions 'pig diarrhoea' linking to gut pathology
PRJNA1376267			8	OTHER	METAGENOMIC		China:Shanghai	pubmed_metagenom_b1	42041929	The Gut Microbiome and Metabolome of Domestic Cats Were Altered by the Oral Administration of Complex Probiotics.	10.3390/biology15080652	Biology	2026.0	YES								high	explicit	ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; Isolation source: 'cat gut'; library_source: 'METAGENOMIC'; Paper title explicitly mentions 'Gut Microbiome...of Domestic Cats'
PRJNA1434035			6	WGS	METAGENOMIC			pubmed_metagenom_b1	42036496	Metagenomic insights into urolithin formation from rambutan rind extract by rat faecal-derived microbiome.	10.1007/s00253-026-13841-x	Applied microbiology and biotechnology	2026.0	YES								high	explicit	Paper title explicitly states 'rat faecal-derived microbiome'; library_source='METAGENOMIC'; library_strategy='WGS'
PRJNA1157396	Mus musculus	10090	24	OTHER	METAGENOMIC		China:Wuhan	pubmed_metagenom_b1	42010713	Gut microbiota induces dysspermatogenesis via microbial-derived phenylacetylglycine in Ggt1-deficient mice.	10.1186/s40168-026-02401-0	Microbiome	2026.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Biome label: 'feces metagenome'; Isolation source: 'Fecal from a mouse numbered FMT-KO1' (and 7 other fecal samples); library_source: 'METAGENOMIC'; Host organism: 'Mus musculus'
PRJNA1263030	Ovis aries	9940	18	WGS	METAGENOMIC		China: Changchun	pubmed_metagenom_b1	42002784	Curcumin modulates hepatic pyroptosis-autophagy crosstalk induced by aflatoxin B1 via rumen microbiota-blood-liver axis.	10.1186/s40168-026-02396-8	Microbiome	2026.0	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Ovis	Ovis aries	high	inferred	Paper title explicitly states 'rumen microbiota'; library_source='METAGENOMIC'; library_strategy='WGS'; host organism=Ovis aries (sheep)
PRJNA1154995	feces metagenome		34	OTHER	METAGENOMIC		China:Wolong Nature Reserve	pubmed_metagenom_b1	41940273	Dietary drivers of gut microbiota diversity and function in wildlife of Wolong Nature Reserve: a metagenomic study.	10.1093/cz/zoaf018	Current zoology	2026.0	YES								high	explicit	ENA study title: 'Metagenome or environmental sample from feces metagenome'; Biome label: 'feces metagenome'; Isolation source: 'feces'; library_source: 'METAGENOMIC'; Paper title explicitly states 'gut microbiota'; library_strategy: 'OTHER' (but paper title and sample descriptions confirm shotgun metagenomics)
PRJEB29232	Vulpes vulpes	9627	131	WGS	METAGENOMIC			pubmed_metagenom_b1	41896639	Gut microbiome community structure correlates with different behavioral phenotypes in the Belyaev Farm-Fox Experiment.	10.1038/s42003-026-09717-5	Communications biology	2026.0	YES	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes	medium	inferred	Paper title explicitly states 'Gut microbiome'; library_source='METAGENOMIC'; library_strategy='WGS'; host=Vulpes vulpes (fox)
PRJNA1399070	Manis javanica		13	OTHER	METAGENOMIC		China: Nanning	pubmed_metagenom_b1	41828944	Comparative Analysis of Gut Microbiota and Metabolome of Captive Male Malayan Pangolins with Normal and Abnormal Reproduction.	10.3390/ani16050735	Animals : an open access journal from MDPI	2026.0	YES								medium	inferred	Paper title: 'Comparative Analysis of Gut Microbiota and Metabolome of Captive Male Malayan Pangolins with Normal and Abnormal Reproduction'; library_source: METAGENOMIC; library_strategy: OTHER
PRJNA1054518	Mus musculus	10090	993	WGS	METAGENOMIC		USA:Bar Harbor	pubmed_metagenom_b1	41772715	Dynamics of gut bacteriophage in diversity outbred mice studied over lifespan and during extreme caloric restriction.	10.1186/s40168-026-02362-4	Microbiome	2026.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source: 'stool'; ENA study title includes 'mouse gut metagenome'; Paper title mentions 'gut bacteriophage'; library_strategy: 'WGS'; library_source: 'METAGENOMIC'
PRJNA890321	Cygnus cygnus	219595	28	WGS	METAGENOMIC		China	pubmed_metagenom_b1	41742841	A Genomic Catalog of Migratory Microbiomes from Wild Birds across China's Habitats.	10.1002/advs.74581	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2026.0	YES	Metazoa	Chordata	Aves	Anseriformes	Anatidae	Cygnus	Cygnus cygnus	high	explicit	isolation source: stool; library_strategy: WGS; library_source: METAGENOMIC; paper title mentions 'gut microbiome'
PRJNA1175865	Alexandromys fortis	100897	128	WGS	METAGENOMIC			pubmed_metagenom_b1	41645054	Gut microbiota response to Enterocytozoon bieneusi infection in wild rodents: enhanced vitamin B and K(2) biosynthesis pathways.	10.1186/s12864-026-12575-4	BMC genomics	2026.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Alexandromys	Alexandromys fortis	high	explicit	Isolation source(s): cecum; Biome label(s): gut metagenome; library_source: METAGENOMIC; library_strategy: WGS
PRJNA792023	Gallus gallus	9031	29	WXS	METAGENOMIC		Thailand	pubmed_metagenom_b1	41629580	Effectiveness of probiotic supplementation on growth performance, gut microbiota, and Salmonella reduction in broiler chicks challenged with Salmonella Typhimurium.	10.1038/s41598-026-37506-x	Scientific reports	2026.0	YES	Metazoa	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus	high	explicit	ENA study title: 'Chicken ceca metagenome'; Isolation source: 'caecal content'; library_source: 'METAGENOMIC'; library_strategy: 'WXS' (shotgun); Biome label: 'chicken gut metagenome'
PRJEB89408	Trichosurus vulpecula		117	WGS	METAGENOMIC	Faeces	Australia	pubmed_metagenom_b1	41511078	A molecular inventory of the faecal microbiomes of 23 marsupial species.	10.1099/mgen.0.001601	Microbial genomics	2026.0	YES								high	explicit	Host body site: Faeces; library_source: METAGENOMIC; library_strategy: WGS; Paper title explicitly states 'faecal microbiomes'
PRJNA1167890	Lasiorhinus latifrons	30668	36	WGA	METAGENOMIC		Australia: Brisbane	pubmed_metagenom_b1	41432437	Metagenomic analysis of fecal microbiomes reveals genetic potential for diverse hydrogen management strategies in marsupials.	10.1128/msystems.01608-25	mSystems	2026.0	YES	Metazoa	Chordata	Mammalia	Diprotodontia	Vombatidae	Lasiorhinus	Lasiorhinus latifrons	high	explicit	Paper title explicitly states 'fecal microbiomes'; ENA study title and biome labels explicitly state 'gut metagenome' and 'feces metagenome'; library_source='METAGENOMIC'; library_strategy='WGA' (whole genome amplification, shotgun approach); host organisms are all marsupials (animals).
PRJNA340521			1	WGS	METAGENOMIC		USA: Wisconsin	pubmed_metagenom_b1	41432437	Metagenomic analysis of fecal microbiomes reveals genetic potential for diverse hydrogen management strategies in marsupials.	10.1128/msystems.01608-25	mSystems	2026.0	YES								high	explicit	Paper title: 'Metagenomic analysis of fecal microbiomes...'; Biome label: 'gut metagenome'; Isolation source: 'Capybara group feces'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA752224			20	WGS	METAGENOMIC		China:Yinchuan	pubmed_metagenom_b1	41432437	Metagenomic analysis of fecal microbiomes reveals genetic potential for diverse hydrogen management strategies in marsupials.	10.1128/msystems.01608-25	mSystems	2026.0	YES								high	explicit	Paper title: 'Metagenomic analysis of fecal microbiomes reveals genetic potential for diverse hydrogen management strategies in marsupials.' ENA study title: 'Metagenome or environmental sample from gut metagenome'. Biome label: 'gut metagenome'. Library_source: 'METAGENOMIC'. Library_strategy: 'WGS'.
PRJNA543906	Homo sapiens	9606	27	OTHER	METAGENOMIC		missing	pubmed_metagenom_b1	41432144	Comprehensive profiling of antibiotic resistance, virulence genes, and mobile genetic elements in the gut microbiome of Tibetan antelopes.	10.1128/msystems.01443-25	mSystems	2026.0	YES	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	high	explicit	ENA study title: 'fecal'; Biome label: 'gut metagenome'; Sample title(s): 'fecal'; library_source: 'METAGENOMIC'; Paper title mentions 'gut microbiome'
PRJNA1298916	Mus musculus	10090	27	WGS	METAGENOMIC		USA: University Park	pubmed_metagenom_b1	41222145	A synthetic gut microbiota provides an understanding of the maintenance and functional impact of phage.	10.1128/mbio.02341-25	mBio	2025.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source(s): 'Gnotobiotic Mouse Feces'; Host organism: Mus musculus; library_source: METAGENOMIC; library_strategy: WGS
PRJNA1088789	Elaphe taeniura	1008428	12	WGS	METAGENOMIC		China	pubmed_metagenom_b1	41019405	The Influence of Diet on the Composition and Function of Gut Microbiota in Four Snake Species.	10.1002/ece3.72204	Ecology and evolution	2025.0	YES	Metazoa	Chordata	Lepidosauria	Squamata	Pareatidae	Pareas	Pareas formosensis	high	explicit	Paper title: 'The Influence of Diet on the Composition and Function of Gut Microbiota in Four Snake Species'; library_source: METAGENOMIC; library_strategy: WGS; host organisms are snake species (Elaphe taeniura, Pareas formosensis, Protobothrops jerdonii, Rhabdophis chiwen)
PRJNA1306187			94	WGS	METAGENOMIC			pubmed_metagenom_b1	41000896	Isolation by distance promotes strain diversification in the wild mouse gut microbiota.	10.1101/2025.09.15.676373	bioRxiv : the preprint server for biology	2025.0	YES								medium	inferred	Paper title: 'Isolation by distance promotes strain diversification in the wild mouse gut microbiota.' Library_source: METAGENOMIC. Library_strategy: WGS.
PRJNA1206451	Apis mellifera	7460	3	Hi-C	METAGENOMIC		USA: Urbana, IL	pubmed_metagenom_b1	40980884	Hi-C-resolved metagenomics reveals host range variation among mobile genetic elements within the European honey bee.	10.1128/mbio.02243-25	mBio	2025.0	YES								high	explicit	Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'Hi-C' (shotgun metagenomics approach); host organism: 'Apis mellifera' (honey bee)
PRJNA1264687	Protaetia brevitarsis	348688	10	WGS	METAGENOMIC		Korea: Gyeongsangbuk-do	pubmed_metagenom_b1	40870601	Characterization of DNA Viruses in Hindgut Contents of Protaetia brevitarsis Larvae.	10.3390/insects16080800	Insects	2025.0	YES	Metazoa	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Protaetia	Protaetia brevitarsis	high	explicit	Paper title: 'Characterization of DNA Viruses in Hindgut Contents of Protaetia brevitarsis Larvae'; Isolation source: 'hindgut contents'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Host organism: 'Protaetia brevitarsis' (an animal beetle larva)
PRJEB47909			115	WGS	METAGENOMIC			pubmed_metagenom_b1	39071345	Shared environments complicate the use of strain-resolved metagenomics to infer microbiome transmission.	10.1101/2024.07.18.604082	bioRxiv : the preprint server for biology	2024.0	YES								high	explicit	Biome label: 'human gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1092791	Mus musculus	10090	41	WGS	METAGENOMIC		China:Wuhan	pubmed_metagenom_b1	38990027	Colonization of microbiota derived from Macaca fascicularis, Bama miniature pigs, beagle dogs, and C57BL/6J mice alleviates DSS-induced colitis in germ-free mice.	10.1128/spectrum.00388-24	Microbiology spectrum	2024.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Biome label: 'gut metagenome'; Isolation source: 'feces'; Library strategy: 'WGS'; Library source: 'METAGENOMIC'
PRJNA956273	Mus musculus	10090	12	OTHER	METAGENOMIC		China: Weifang	pubmed_metagenom_b1	38951816	Metagenomic and metabolomic analysis showing the adverse risk-benefit trade-off of the ketogenic diet.	10.1186/s12944-024-02198-7	Lipids in health and disease	2024.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source: 'intestinal content 1; intestinal content 10; intestinal content 11; intestinal content 12; intestinal content 2; intestinal content 3; intestinal content 4; intestinal content 5'; Biome label: 'mouse gut metagenome'; ENA study title: 'Metagenome or environmental sample from mouse gut metagenome'; library_source: 'METAGENOMIC'; Host organism: 'Mus musculus'
PRJNA884830	feces metagenome		1	WGS	METAGENOMIC		China:Yunnan Snub-nosed Monkey National Park	pubmed_metagenom_b1	38879636	Metagenomic and culture-dependent analysis of Rhinopithecius bieti gut microbiota and characterization of a novel genus of Sphingobacteriaceae.	10.1038/s41598-024-64727-9	Scientific reports	2024.0	YES								high	explicit	ENA study title: 'Metagenome or environmental sample from feces metagenome'; Biome label: 'feces metagenome'; Isolation source: 'faeces sample'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1054761	Danio rerio	7955	30	WGS	METAGENOMIC		China:Chengdu	pubmed_metagenom_b1	38799799	Magnolia Officinalis Alcohol Extract Alleviates the Intestinal Injury Induced by Polygala Tenuifolia Through Regulating the PI3K/AKT/NF-κB Signaling Pathway and Intestinal Flora.	10.2147/DDDT.S461152	Drug design, development and therapy	2024.0	YES	Metazoa	Chordata	Actinopteri	Cypriniformes	Danionidae	Danio	Danio rerio	medium	inferred	Paper title mentions 'Intestinal Injury' and 'Intestinal Flora'; Host organism is Danio rerio (zebrafish); library_source=METAGENOMIC; library_strategy=WGS; isolation_source lists Danio rerio specimens
PRJNA843354	Bos taurus	9913	32	WGS	METAGENOMIC			pubmed_metagenom_b1	38742910	Multi-omics strategy reveals potential role of antimicrobial resistance and virulence factor genes responsible for Simmental diarrheic calves caused by Escherichia coli.	10.1128/msystems.01348-23	mSystems	2024.0	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	high	explicit	ENA study title: 'Metagenome or environmental sample from bovine gut metagenome'; Biome label: 'bovine gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Host organism: 'Bos taurus'
PRJNA805352	Cnaphalocrocis medinalis	437488	1	WGS	METAGENOMIC		China: Jiangsu, Yangzhou	pubmed_metagenom_b1	38674701	Metagenomic Analyses Reveal Gut Microbial Profiles of Cnaphalocrocis medinalis Driven by the Infection of Baculovirus CnmeGV.	10.3390/microorganisms12040757	Microorganisms	2024.0	YES	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Cnaphalocrocis	Cnaphalocrocis medinalis	high	explicit	Isolation source: 'gut'; ENA study title: 'Metagenome or environmental sample from insect gut metagenome'; Biome label: 'insect gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA924947	bovine		12	WGS	METAGENOMIC		China	pubmed_metagenom_b1	38651859	Intake of compound probiotics accelerates the construction of immune function and gut microbiome in Holstein calves.	10.1128/spectrum.01909-23	Microbiology spectrum	2024.0	YES								high	explicit	ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; Paper title mentions 'gut microbiome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1043846	Clanis bilineata	215161	9	WGS	METAGENOMIC		China: Nanjing	pubmed_metagenom_b1	38591043	Enterococcus casseliflavus regulates amino acid metabolism in edible insect Clanis bilineata tsingtauica: a functional metagenomics study.	10.3389/fmicb.2024.1343265	Frontiers in microbiology	2024.0	YES	Metazoa	Arthropoda	Insecta	Lepidoptera	Sphingidae	Clanis	Clanis bilineata	medium	inferred	library_strategy: WGS, library_source: METAGENOMIC, paper title mentions 'Enterococcus casseliflavus regulates amino acid metabolism in edible insect', host organism Clanis bilineata (an edible insect), isolation_source: 'edible insects'
PRJNA947933	Gallus gallus domesticus		44	WGS	METAGENOMIC		Germany: Saarbruecken	pubmed_metagenom_b1	38549118	Time series of chicken stool metagenomics and egg metabolomics in changing production systems: preliminary insights from a proof-of-concept.	10.1186/s42522-024-00100-0	One health outlook	2024.0	YES								high	explicit	Paper title: 'Time series of chicken stool metagenomics...'; ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA1067830	Mus musculus	10090	312	OTHER	METAGENOMIC		USA	pubmed_metagenom_b1	38503977	Prevotella copri and microbiota members mediate the beneficial effects of a therapeutic food for malnutrition.	10.1038/s41564-024-01628-7	Nature microbiology	2024.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	ENA study title: 'Metagenome or environmental sample from mouse gut metagenome'; Isolation source(s): 'Cecal contents', 'Ileal contents', 'fecal sample'; library_source: 'METAGENOMIC'; Host organism(s): 'Mus musculus'
PRJNA876316	Ruminococcus sp.		1	WGS	METAGENOMIC		China: Beijing	pubmed_metagenom_b1	38469667	Gut microbiota in the association between obesity and kidney function decline: a metagenomics-based study in a rat model.	10.1080/0886022X.2024.2328320	Renal failure	2024.0	YES								high	explicit	Isolation source: 'gut microbiota'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title explicitly mentions 'Gut microbiota in the association between obesity and kidney function decline: a metagenomics-based study in a rat model'
PRJNA685398	Apis mellifera	7460	40	WGS	METAGENOMIC		Hungary	pubmed_metagenom_b1	38461199	Apis mellifera filamentous virus from a honey bee gut microbiome survey in Hungary.	10.1038/s41598-024-56320-x	Scientific reports	2024.0	YES	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera	high	explicit	Isolation source: 'gut'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Host organism: 'Apis mellifera'; Paper title explicitly mentions 'honey bee gut microbiome survey'
PRJNA1049576	Rattus norvegicus	10116	28	WGS	METAGENOMIC		China: Beijing	pubmed_metagenom_b1	38421192	Sleep deprivation-induced anxiety-like behaviors are associated with alterations in the gut microbiota and metabolites.	10.1128/spectrum.01437-23	Microbiology spectrum	2024.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus norvegicus	medium	inferred	Paper title states 'gut microbiota'; library_source='METAGENOMIC'; library_strategy='WGS'; host organism=Rattus norvegicus (rat); no explicit body_site field provided in metadata.
PRJNA1031251	missing		34	WGS	OTHER		China:Yichang	pubmed_metagenom_b1	38347598	Metagenome-assembled genome reveals species and functional composition of Jianghan chicken gut microbiota and isolation of Pediococcus acidilactic with probiotic properties.	10.1186/s40168-023-01745-1	Microbiome	2024.0	YES								high	explicit	ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; Paper title mentions 'chicken gut microbiota'; library_strategy: WGS
PRJNA491335	Homo sapiens	9606	208	WGS	METAGENOMIC		Denmark: Copenhagen	pubmed_metagenom_b1	38182626	Functional host-specific adaptation of the intestinal microbiome in hominids.	10.1038/s41467-023-44636-7	Nature communications	2024.0	YES	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	high	explicit	ENA study title: 'MIMS Environmental/Metagenome sample from feces metagenome'; Biome label: 'feces metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Host organism: 'Homo sapiens'
PRJNA692042	Pan troglodytes verus	37012	216	WGS	METAGENOMIC		Germany	pubmed_metagenom_b1	38182626	Functional host-specific adaptation of the intestinal microbiome in hominids.	10.1038/s41467-023-44636-7	Nature communications	2024.0	YES	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pan	Pan troglodytes	medium	inferred	Paper title: 'Functional host-specific adaptation of the intestinal microbiome in hominids'; library_source: METAGENOMIC; library_strategy: WGS; Host organisms: multiple ape/hominid species (Gorilla, Pan, Pongo)
PRJNA1009258	Homo sapiens	9606	61	Tn-Seq	METAGENOMIC		Slovakia: Bratislava	pubmed_metagenom_b1	38136701	High Diversity but Monodominance of Multidrug-Resistant Bacteria in Immunocompromised Pediatric Patients with Acute Lymphoblastic Leukemia Developing GVHD Are Not Associated with Changes in Gut Mycobiome.	10.3390/antibiotics12121667	Antibiotics (Basel, Switzerland)	2023.0	YES	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	high	explicit	Biome label: 'human gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'Tn-Seq'; paper title explicitly mentions 'gut mycobiome'
PRJNA1003305	Mice		6	OTHER	OTHER		China	pubmed_metagenom_b1	38114436	Comprehensive analysis of the gut microbiome and post-translational modifications elucidates the route involved in microbiota-host interactions.	10.24272/j.issn.2095-8137.2023.008	Zoological research	2024.0	YES								high	explicit	Biome label: 'mouse gut metagenome'; Isolation source: 'Gut'; library_source: 'OTHER (METAGENOMIC=community DNA)'; library_strategy: 'OTHER (WGS or METAGENOMIC = shotgun)'
PRJNA987703	Bathycoelia distincta	2910193	1	WGS	METAGENOMIC		South Africa: Gauteng	pubmed_metagenom_b1	38098653	Pantoea bathycoeliae sp. nov and Sodalis sp. are core gut microbiome symbionts of the two-spotted stink bug.	10.3389/fmicb.2023.1284397	Frontiers in microbiology	2023.0	YES	Metazoa	Arthropoda	Insecta	Hemiptera	Pentatomidae	Bathycoelia	Bathycoelia distincta	high	explicit	Isolation source: 'adult insect midgut'; ENA study title: 'MIMS Environmental/Metagenome sample from insect gut metagenome'; Biome label: 'insect gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA809764	Mus musculus	10090	132	WGS	METAGENOMIC		USA: Baltimore	pubmed_metagenom_b1	38066426	Rapid intestinal and systemic metabolic reprogramming in an immunosuppressed environment.	10.1186/s12866-023-03141-z	BMC microbiology	2023.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	medium	inferred	Paper title: 'Rapid intestinal and systemic metabolic reprogramming in an immunosuppressed environment'; Host organism: Mus musculus; library_source: METAGENOMIC; library_strategy: WGS
