study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	pmid_str	paper_title	first_author	last_author	host_class	abstract	pub_year	journal
PRJEB4410	Plasmodium falciparum				403	WGS	pubmed	27388460.0	27388460							
PRJNA1175391	Micropterus salmoides	27706.0			12	WGS	ena_only									
PRJNA593263	feces metagenome			USA:Birmingham	30	WGS	ena_only									
PRJNA1375668	Sus scrofa	9823.0		China:Hunan	24	WGS	ena_only									
PRJNA1193062				USA:Ohio	323	WGS	ena_only									
PRJNA553106	Sus scrofa				115	WGS	pubmed	39202331.0	39202331							
PRJNA1282110	Gallus			China:Changsha	384	AMPLICON	pubmed	42019469.0	42019469							
PRJDB10484	Homo sapiens	9606.0		Japan	102	AMPLICON	ena_only									
PRJNA898107				China:Wuhan	16	AMPLICON	pubmed	39420836.0	39420836							
PRJNA1082665	canine			USA	767	WGS	pubmed	39394961.0	39394961							
PRJEB89830				Germany	38	WGS	ena_only									
PRJEB81106				Israel	794	WGS	ena_only									
PRJNA908260	domestic Feline			China	8	WGA	pubmed	37428087.0	37428087							
PRJNA917095	Canis lupus familiaris	9615.0		China:Jinhua	1	AMPLICON	pubmed	36992396.0	36992396							
PRJNA871950	Canis lupus	9612.0		China: Nei Monggol Autonomous Region	11	AMPLICON	pubmed	36386659.0	36386659	Gut microbiome of captive wolves is more similar to domestic dogs than wild wolves indicated by metagenomics study.	Chen L	Zhou Y	Mammalia	Adaptation during the domestication from wolves (Canis lupus) to dogs (Canis lupus familiaris) is a debated ecological topic. Changes in food and environment are major divergences in the domestication of dogs. Gut microbes play an important role in animal adaptation to the food and environmental changes. In this study, shotgun sequencing was performed to compare the species diversity and functional diversity of gut microbes in wild wolves (group CLW, n = 3), captive wolves (group CLC, n = 4), and domestic dogs (group CLF, n = 4). The results found that Bacteroidetes, Firmicutes, Fusobacteria, Proteobacteria and Actinobacteria were the most abundant phyla and Bacteroides, Fusobacterium, Prevotella, Megamonas, Paraprevotella, Faecalibacterium, Clostridium were the most abundant genera in the gut of wolves and dogs. Groups CLW, CLC and CLF have shown significant difference in gut microbial species diversity and functional diversity. Bacteroides, Fusobacterium and Faecalibacterium were most abundant genera in groups CLW, CLC and CLF, respectively. Their abundance varied significantly among groups. Compared to the wild wolves, the intestinal microbiol genes of domestic dogs were significantly enriched in the carbohydrate metabolism pathway of KEGG database. One hundred and seventy-seven enzymes were detected with significantly higher abundance in group CLF than that in group CLW, and 49 enzymes showed extremely significant higher abundance in group CLF than that in group CLW (q < 0.01) base on the function abundance annotated in CAZy database. It is noteworthy that there were also significant differences in the abundance of 140 enzymes between groups CLC and CLW (q < 0.05). Clustering analysis based on both the species and the function abundance of intestinal microbiota all found that groups CLC and CLF clustered into one branch, while samples from group CLW clustered into the other branch. This result suggests that captive wolves are more similar to domestic dogs than wild wolves in both species composition and function composition of intestinal microbiota.		Frontiers in microbiology
PRJNA601162	Sus scrofa domesticus	9825.0		USA: Ohio	62	WGS	pubmed	36346230.0	36346230							
PRJNA428973	Artibeus lituratus	124751.0		Belize: Orange Walk District, Ka'kabish Archaeological Reserve	51	AMPLICON	pubmed	29765359.0	29765359							
PRJNA383577	Mus musculus	10090.0		USA	64	AMPLICON	pubmed	29950381.0	29950381							
PRJNA1242249	Moschus berezovskii	68408.0		China:Hunan	24	WGS	pubmed	40646853.0	40646853							
PRJNA824950	Mus musculus	10090.0		Singapore	102	AMPLICON	pubmed	36288294.0	36288294	Microbial Dysregulation of the Gut-Lung Axis in Bronchiectasis.	Narayana JK	Chotirmall SH	Mammalia	"Rationale: Emerging data support the existence of a microbial ""gut-lung"" axis that remains unexplored in bronchiectasis. Methods: Prospective and concurrent sampling of gut (stool) and lung (sputum) was performed in a cohort of n = 57 individuals with bronchiectasis and subjected to bacteriome (16S rRNA) and mycobiome (18S Internal Transcribed Spacer) sequencing (total, 228 microbiomes). Shotgun metagenomics was performed in a subset (n = 15; 30 microbiomes). Data from gut and lung compartments were integrated by weighted similarity network fusion, clustered, and subjected to co-occurrence analysis to evaluate gut-lung networks. Murine experiments were undertaken to validate specific Pseudomonas-driven gut-lung interactions. Results: Microbial communities in stable bronchiectasis demonstrate a significant gut-lung interaction. Multibiome integration followed by unsupervised clustering reveals two patient clusters, differing by gut-lung interactions and with contrasting clinical phenotypes. A high gut-lung interaction cluster, characterized by lung Pseudomonas, gut Bacteroides, and gut Saccharomyces, is associated with increased exacerbations and greater radiological and overall bronchiectasis severity, whereas the low gut-lung interaction cluster demonstrates an overrepresentation of lung commensals, including Prevotella, Fusobacterium, and Porphyromonas with gut Candida. The lung Pseudomonas-gut Bacteroides relationship, observed in the high gut-lung interaction bronchiectasis cluster, was validated in a murine model of lung Pseudomonas aeruginosa infection. This interaction was abrogated after antibiotic (imipenem) pretreatment in mice confirming the relevance and therapeutic potential of targeting the gut microbiome to influence the gut-lung axis. Metagenomics in a subset of individuals with bronchiectasis corroborated our findings from targeted analyses. Conclusions: A dysregulated gut-lung axis, driven by lung Pseudomonas, associates with poorer clinical outcomes in bronchiectasis."		American journal of respiratory and critical care medicine
PRJNA1218713	Sus scrofa	9823.0		Spain	172	WGS	pubmed	41618383.0	41618383	From predisposition to recovery: field evidence of interactions between the gut microbiota and Brachyspira hyodysenteriae infection.	Pérez-Pérez L	Carvajal A	Mammalia	Restrictions on antibiotics use have increased interest in the gut microbiota relationship to host health, particularly in enteric infections. The present field study, performed on two farms with endemic swine dysentery (SD) infection, characterises the faecal microbiota in 102 faecal samples from 13 diseased and 13 non-diseased pigs by shotgun metagenomic sequencing. The samples were collected during four samplings, which allowed us to monitor the animals before, during and after the clinical disease to investigate the role of the gut microbiota in disease outcome, assess the impact of infection on microbial composition and evaluate the microbiota evolution following recovery. Samples collected before disease demonstrated that SD susceptible pigs had lower microbial diversity, with significantly lower abundance of Treponema rectale, Prevotella spp. or Ruminiclostridium E compared with SD resistant pigs, which remained healthy. Marked alterations in microbial species composition and their functional profiles were evident during clinical disease. Brachyspira hyodysenteriae, Dysosmobacter sp. BX15, Acetivibrio ethanolgignens and Mucispirillum sp. 910586745 were significantly increased in abundance, which was associated with an increase of functions such as Bacteroides capsular polysaccharide transcription antitermination proteins or pterin carbinolamine dehydratase. No changes in the microbiota were observed after the disease when compared with non-diseased pigs, thus evidencing a restoration of the microbiota composition after therapeutic treatment and recovery. The study demonstrates that the microbiota may play a relevant role in SD disease outcome and evidences the changes that occur during clinical disease do not persist over time after pig therapeutic treatment.		Veterinary research
PRJNA915408	Mus musculus	10090.0		USA: University of Missouri	426	AMPLICON	pubmed	37608207.0	37608207							
PRJNA737271	Sus scrofa			Not collected	40	WGS	ena_only									
PRJNA894152	Homo sapiens	9606.0		Nicaragua	82	WGS	ena_only									
PRJNA453374	Bos taurus	9913.0		USA:Colorado	28	WGS	pubmed	30796295.0	30796295	Effects of a Saccharomyces cerevisiae fermentation product on liver abscesses, fecal microbiome, and resistome in feedlot cattle raised without antibiotics.	Huebner KL	Belk KE	Mammalia	Liver abscesses in feedlot cattle form secondary to high concentrate feeds and rumen acidosis. Antimicrobial drugs are commonly included in cattle feed for prevention of liver abscesses, but concerns regarding antimicrobial resistance have increased the need for alternative treatments. A block randomized clinical trial was conducted to evaluate the effects of a Saccharomyces cerevisiae fermentation product (SCFP) on liver abscesses, fecal microbiomes, and resistomes in cattle raised without antibiotics in a Colorado feedlot. At enrollment, steers (n = 4,689) were sorted, by weight and source, into 2 pens comprising a block (n = 14 blocks, 28 pens); pens were randomly allocated to either the control group or the treatment group, where the diet was supplemented with SCFP. Prior to harvest, composited feces were collected for characterization of the microbiome and resistome using 16S rRNA gene and shotgun sequencing. At harvest, liver abscess severity was quantified for individual cattle. There were no statistical differences detected by treatment group in animal health, liver abscess prevalence or severity. Organisms classified to phylum, Elusimicrobia were more abundant in the feces of treated cattle, however, there were no differences in the resistome by treatment group. Both microbiome and resistome varied significantly among enrollment blocks.		Scientific reports
PRJEB88329				South Korea	171	WGS	ena_only									
PRJDB34988	Anas platyrhynchos	8839.0		missing: data agreement established pre-2023	464	RNA-Seq	ena_only									
PRJNA575106	dairy				1000	AMPLICON	pubmed	32591006.0	32591006							
PRJNA944612	Sus scrofa domesticus	9825.0		USA	720	WGS	ena_only									
PRJNA438833	dairy			USA:Davis,CA	786	AMPLICON	pubmed	31562300.0	31562300							
PRJNA1067373	Sus scrofa	9823.0		China: Nanjing	1	WGS	ena_only									
PRJNA780249	Mus musculus	10090.0		Spain: Valencia	28	RNA-Seq	pubmed	39684246.0	39684246							
PRJNA1003883	Fecal pool P1 from Mus musculus C57BL/6 R1 and mouse R6 of VLPs group at week 17			Mexico:Cuernavaca	49	AMPLICON	pubmed	41348832.0	41348832							
PRJNA453789	Mus musculus taxid:10090			USA:Midwest,Columbia, MO	269	AMPLICON	pubmed	30359379.0	30359379							
PRJDB17852	Homo sapiens	9606.0		missing	129	WGS	ena_only									
PRJNA1218236	mouse			missing	16	OTHER	pubmed	40144527.0	40144527							
PRJNA1078280	Mus musculus			missing	38	RNA-Seq	ena_only									
PRJNA878467	wildlife			China:Guangzhou	1	WGS	ena_only									
PRJNA650141	Salmo salar	8030.0		United Kingdom: Machrihanish	167	AMPLICON	pubmed	41700855.0	41700855	Genotypic characterization of gut isolates from Atlantic salmon fry reveals beneficial microbes with biotechnological potential.	Rojas Calderón D	La Rosa SL	Actinopterygii	Aquaculture is a rapidly growing industry, with Atlantic salmon being one of the most intensively farmed food-producing fish in the world. While the gut microbiota is recognized to play an important role in the health and performance of various fish, knowledge of its functional capacities in salmon is gradually expanding, facilitating a better understanding of host-microbiome interactions. Nevertheless, data on the gut microbiota of juvenile salmon remain limited. Here, we isolated and genotypically characterized 11 bacteria obtained from the gut content of Atlantic salmon fry. Whole-genome sequencing using long-read Nanopore technology and functional annotation revealed their extensive metabolic versatility, including a broad array of carbohydrate-active enzymes, proteases, lipases, and (poly)phenol-degrading enzymes potentially contributing to the metabolism of feed-derived components. Additionally, all isolates possessed genomic potential for producing beneficial metabolites, including the short-chain fatty acids acetate and propionate, as well as several B vitamins and vitamin K2. Genes encoding bacteriocins and other secondary metabolites were identified, suggesting niche competitiveness against intestinal pathogens. Among the isolates, we further show that Lactococcus raffinolactis ASF-5 has the potential to selectively remove indigestible oligosaccharides from plant-based feeds. Indeed, this isolate grew on raffinose, an oligosaccharide associated with anti-nutritional effects in salmon. Using AlphaFold 3 models, we show that this capability is supported by a GH36 α-galactosidase and two GH32 sucrases, which can act cooperatively in the complete hydrolysis of raffinose. Finally, L. raffinolactis ASF-5 had a favorable safety profile for use as a feed supplement, showing susceptibility to all tested antibiotics and lacking hemolytic activity.IMPORTANCEAlthough metataxonomy studies have enhanced our knowledge of the salmon gut microbiota, the functional potential of bacteria from this ecosystem remains underexplored. Well-characterized bacterial isolates are crucial to advance the growing salmon aquaculture field, allowing insights into nutrient metabolism, informing the development of beneficial interventions, and helping in identifying enzymes to improve feed digestibility. This study highlights the functional capacity of 11 bacteria isolated from the gut of salmon fry in contributing to the metabolism of carbohydrates, proteins, lipids, fatty acids, and (poly)phenols from feed, potentially increasing nutrient availability for the host or providing beneficial metabolites, including short-chain fatty acids, vitamins, and bacteriocins. Importantly, Lactococcus raffinolactis ASF-5 could be used to remove indigestible sugars like raffinose from plant meals. Identifying such beneficial, host-specific bacteria opens new opportunities for developing customized feed supplements or enzymes that enhance feed digestibility, to promote the health and welfare of Atlantic salmon, and enhance the economic sustainability of aquaculture.		Applied and environmental microbiology
PRJNA325931	Homo sapiens	9606.0		Colombia: Medellin	112	AMPLICON	pubmed	33039709.0	33039709							
PRJDB6620	Mus musculus	10090.0		Japan	25	WGS	ena_only									
PRJNA777737	Ochotona curzoniae	130825.0		China:Qinghai	26	WGS	ena_only									
PRJNA953833					369	WGS	pubmed	42121260.0	42121260							
PRJNA917099	Canis lupus familiaris	9615.0		China:Jinhua	1	AMPLICON	pubmed	36992396.0	36992396							
PRJNA940065	Mus musculus	10090.0		USA: Pennsylvania	14	WGS	pubmed	37398234.0	37398234							
PRJEB9357	Felis catus			United Kingdom	88	WGS	pubmed	26659594.0	26659594	A Longitudinal Study of the Feline Faecal Microbiome Identifies Changes into Early Adulthood Irrespective of Sexual Development.	Deusch O	Morris P	Mammalia	Companion animals provide an excellent model for studies of the gut microbiome because potential confounders such as diet and environment can be more readily controlled for than in humans. Additionally, domestic cats and dogs are typically neutered early in life, enabling an investigation into the potential effect of sex hormones on the microbiome. In a longitudinal study to investigate the potential effects of neutering, neutering age and gender on the gut microbiome during growth, the faeces of kittens (16 male, 14 female) were sampled at 18, 30 and 42 weeks of age. DNA was shotgun sequenced on the Illumina platform and sequence reads were annotated for taxonomy and function by comparison to a database of protein coding genes. In a statistical analysis of diversity, taxonomy and functional potential of the microbiomes, age was identified as the only factor with significant associations. No significant effects were detected for gender, neutering, or age when neutered (19 or 31 weeks). At 18 weeks of age the microbiome was dominated by the genera Lactobacillus and Bifidobacterium (35% and 20% average abundance). Structural and functional diversity was significantly increased by week 30 but there was no further significant increase. At 42 weeks of age the most abundant genera were Bacteroides (16%), Prevotella (14%) and Megasphaera (8%). Significant differences in functional potential included an enrichment for genes in energy metabolism (carbon metabolism and oxidative phosphorylation) and depletion in cell motility (flagella and chemotaxis). We conclude that the feline faecal microbiome is predominantly determined by age when diet and environment are controlled for. We suggest this finding may also be informative for studies of the human microbiome, where control over such factors is usually limited.		PloS one
PRJNA1173401	Gallus gallus	9031.0		China: nanjing	6	WGS	ena_only									
PRJNA1012496				China:Beijing	12	WGS	pubmed	39080726.0	39080726							
PRJEB83270				United Kingdom	26	WGS	ena_only									
PRJNA777422	feces metagenome			China:Nanjing	16	WGS	ena_only									
PRJNA792435	Capra hircus	9925.0		missing	20	AMPLICON	pubmed	35801115.0	35801115							
PRJEB96078	Mus musculus	10090.0	UBERON:feces	USA;USA:CA:San Diego	192	WGS	ena_only									
PRJEB39500					203	WGS	pubmed	37398234.0	37398234							
PRJNA1069863	missing			China:Baoding	20	AMPLICON	pubmed	40151573.0	40151573	Probiotic characteristics and whole genome sequencing of Pediococcus pentosaceus SNF15 and its protective effect on mice diarrhea induced by Escherichia coli K99.	Su Y	Liu M	Mammalia	Escherichia coli (E. col iK99) is one of the primary pathogens that cause infectious calf diarrhea, resulting in mortality and causing economic losses. Probiotics have been widely researched for their positive impact on inhibiting the growth of pathogenic bacteria and enhancing immunity and gut health as alternatives to antibiotics. This study isolated one probiotic from healthy calf feces: Pediococcus pentosaceus SNF15 (P. pentosaceus SNF15). In vitro assessments included growth character and acid-producing ability, bile salt and artificial gastroenteric fluid tolerance, Caco-2 adhesion, hemolysis screening, and antibiotic susceptibility. Whole-genome sequencing identified immunomodulatory, antimicrobial, and metabolic genes. A murine model evaluated probiotic efficacy against E. coli K99, outcomes included clinical indices (fecal score, weight), histopathology (H&E), inflammatarty factor (qRT-PCR and ELISA), tight junction proteins and mucin (immunohistochemistry detection). Finally, 16S rRNA sequencing was performed to compare the composition and relative abundance of the gut microbiota among the different groups. P. pentosaceus SNF15 demonstrated excellent growth performance and acid production capacity, bile salt and artificial gastroenteric fluid resistance, Caco-2 cells adhesion and safety (γ-hemolysis, antibiotic sensitivity) Genomic analysis revealed to immune, anti-inflammatory, antagonistic pathogens, and carbohydrate utilization, including secondary bile acid, nicotinate and nicotinamide. The animal tests showed that the P. pentosaceus SNF15 treatment protects against E. coli K99 infection, as evidenced by clinical symptoms, including weight loss, fecal score, liver atrophy, and spleen enlargement occurred histological damage. Compared with the CN group, the supplementation of P. pentosaceus SNF15 strains ameliorated the damage of jejunum and the content of tight junction proteins occludin, claudin, ZO-1, and MUC2 and decreased the levels of IL-6, IL-1β, and TNF-α in jejunum. The 16S rDNA sequence results showed that infection with Escherichia coli K99 led to an imbalance in gut microbiota; the proportion of Firmicutes and Bacteroidetes decreased, and Proteobacteria increased. P. pentosaceus SNF15 helps improve intestinal microbial composition and prevents this trend. P. pentosaceus SNF15 supplementation can prevent and treat the clinical symptoms, intestinal epithelial mucosal integrity, intestinal permeability, and immune-related cytokines and regulate the intestinal microbiota in E. coli K99-infected mice. This research revealed that P. pentosaceus SNF15 possesses desirable probiotic characteristics and could be used as a potential probiotic to remit neonatal calf diarrhea, caused by E. coli K99 infection.		Frontiers in veterinary science
PRJEB60080	Sus scrofa domesticus	9825.0		France	6	WGS	ena_only									
PRJEB1391				South Korea	73	AMPLICON	ena_only									
PRJNA1187854	Bostaurus			China:Shanxi	20	WGS	pubmed	40671160.0	40671160							
PRJNA385949				USA:Boston	262	WGS	pubmed	39947133.0	39947133							
PRJEB38095					513	WGS	ena_only									
PRJNA290380	Homo sapiens	9606.0		Russia:Petrozavodsk	785	WGS	pubmed	38882494.0	38882494							
PRJEB48041	Sus scrofa				4	OTHER	pubmed	34676935.0	34676935							
PRJEB74747				Denmark	143	AMPLICON	ena_only									
PRJNA1064611	Serrasalmus rhombeus			Brazil: Para	8	WGS	pubmed	39277613.0	39277613	The piranha gut microbiome provides a selective lens into river water biodiversity.	da Silva S	Macrae A	Actinopterygii	Advances in omics technologies have enabled the in-depth study of microbial communities and their metabolic profiles from all environments. Here metagenomes were sampled from piranha (Serrasalmus rhombeus) and from river water from the Rio São Benedito (Amazon Basin). Shotgun metagenome sequencing was used to explore diversity and to test whether fish microbiomes are a good proxy for river microbiome studies. The results showed that the fish microbiomes were not significantly different from the river water microbiomes at higher taxonomic ranks. However, at the genus level, fish microbiome alpha diversity decreased, and beta diversity increased. This result repeated for functional gene abundances associated with specific metabolic categories (SEED level 3). A clear delineation between water and fish was seen for beta diversity. The piranha microbiome provides a good and representative subset of its river water microbiome. Variations seen in beta biodiversity were expected and can be explained by temporal variations in the fish microbiome in response to stronger selective forces on its biodiversity. Metagenome assembled genomes construction was better from the fish samples. This study has revealed that the microbiome of a piranha tells us a lot about its river water microbiome and function.		Scientific reports
PRJNA1130061	Mus musculus	10090.0		China: Shanghai	18	AMPLICON	pubmed	41778161.0	41778161							
PRJEB101201	pig gut metagenome			Germany	1000	AMPLICON	pubmed	42111294.0	42111294							
PRJEB39110	Gallus gallus	9031.0	Caecum content	Spain	70	WGS	ena_only									
PRJNA945347	Ctenopharyngodon idella	7959.0		China	36	WGS	pubmed	38167330.0	38167330							
PRJNA1270037	Homo sapiens			Korea: Chuncheon	30	RNA-Seq	pubmed	40995227.0	40995227							
PRJDB15956	Homo sapiens	9606.0		Japan:Nagoya	167	WGS	ena_only									
PRJNA384246	Homo sapiens	9606.0		USA: Boston MA	174	WGS	pubmed	39947133.0	39947133							
PRJNA594642	Mus musculus	10090.0			40	AMPLICON	pubmed	32723789.0	32723789							
PRJDB36211	Sus scrofa	9823.0		missing: data agreement established pre-2023	16	WGS	ena_only									
PRJNA193217	Gallus gallus	9031.0		United Kingdom: England	1	AMPLICON	pubmed	33868800.0	33868800							
PRJEB90470	Mus musculus			China	6	WGA	pubmed	40661966.0	40661966							
PRJNA1228348	Trachypithecus francoisi	54180.0		China: Guangxi	77	RNA-Seq	pubmed	41645099.0	41645099							
PRJNA1233322	Mus musculus	10090.0		USA	80	AMPLICON	pubmed	40235074.0	40235074	Reutericyclin mitigates risperidone-induced suppression of anaerobic energy expenditure.	Hadiono MA	Kirby JR	Mammalia	Recent studies from our laboratory demonstrated that the gut microbial community represents a thermogenic biomass, as cecectomy causes an ∼8% decrease in total energy expenditure (EE) via suppression of anaerobic EE. The composition of the microbial community also dictates the EE of the microbial biomass as treatment with the antipsychotic, risperidone, suppresses anaerobic EE in a microbiome-dependent manner. Finally, we have determined that a specialized metabolite produced by Limosilactobacillus reuteri, reutericyclin (RTC), opposes the weight-gain effects of risperidone. In the present study, we performed comprehensive evaluations of energy balance in female C57BL/6J mice treated with risperidone, RTC, or both, to identify mechanisms by which RTC affects energy balance to mitigate risperidone-induced weight gain. We observed that risperidone suppressed anaerobic EE, and that RTC coadministration ameliorated the anaerobic EE suppression and weight gain induced by risperidone. Because anaerobic EE is dependent on the gut microbiota, we performed 16S and whole genome shotgun sequencing on stool and cecal samples following whole animal calorimetry. Risperidone and RTC treatments reciprocally modified the relative abundance of taxa known to participate in fermentation, especially for the production of short-chain fatty acids, which have been correlated with health and leanness in both humans and mice. Together, our data demonstrate that treatment with RTC positively modulates anaerobic EE, possibly by enhancing fermentation of the gut microbial community, and may represent a novel therapeutic in the treatment of obesity.NEW & NOTEWORTHY The gut microbial community represents a thermogenic biomass. The composition of the microbial community dictates energy expenditure of the microbial biomass and is altered by xenobiotics and bacterial metabolites. This study demonstrates that treatment with reutericyclin positively modulates anaerobic energy expenditure and may represent a novel therapeutic in the treatment of obesity.		American journal of physiology. Regulatory, integrative and comparative physiology
PRJNA543206	Gallus gallus	9031.0		United Kingdom: Surrey	50	WGS	pubmed	33868800.0	33868800							
PRJNA343584	Megalobrama amblycephala				13	WGS	ena_only									
PRJNA645511	Gallus gallus	9031.0		China: Beijing	12	AMPLICON	pubmed	33424783.0	33424783							
PRJEB64334	Salmo salar			Norway	904	WGS	pubmed	38294254.0	38294254							
PRJNA1416482	Mus musculus			China:Xinjiang	4	RNA-Seq	pubmed	41969653.0	41969653							
PRJNA1417531					2	OTHER	pubmed	41969653.0	41969653							
PRJNA779845	Gallus gallus	9031.0		China:Harbin	80	WGS	pubmed	35250914.0	35250914							
PRJNA843963	Homo sapiens	9606.0		Ethiopia	263	WGS	ena_only									
PRJNA734860	Homo sapiens	9606.0		USA	343	WGS	pubmed	39239875.0	39239875							
PRJNA290729	Homo sapiens	9606.0		Germany	92	WGS	pubmed	30944520.0	30944520							
PRJNA1067548	mouse			China:Guangdong, Zhuhai	20	AMPLICON	pubmed	38309691.0	38309691							
PRJDB3293	Potamochoerus porcus	273791.0		Gabon: Nyanga, Mocabe	6	WGS	ena_only									
PRJNA746242	Oryzias latipes	8090.0		France: Paris	165	AMPLICON	pubmed	37194081.0	37194081							
PRJNA630144	Martes zibellina	36722.0		China: dalian	12	WGS	pubmed	32945998.0	32945998							
PRJNA1069876	pig gut metagenome			missing	16	WGS	ena_only									
PRJNA311136	Pristis pectinata	685728.0			1	WGS	ena_only									
PRJNA723283	Anas platyrhynchos				65	WGS	pubmed	39456444.0	39456444							
PRJNA983076	Camelus bactrianus			Germany: Zoo Saarbruecken	67	WGS	ena_only									
PRJEB32407	Cercopithecus ascanius			Uganda	62	AMPLICON	pubmed	31719654.0	31719654							
PRJNA741980	Sus scrofa	9823.0		France: Brittany	28	WGA	ena_only									
PRJNA562600	Homo sapiens	9606.0		missing	148	WGS	ena_only									
PRJEB23757	Vibrio cholerae				45	WGS	ena_only									
PRJNA748109	Gallus gallus	9031.0		China:shenzhen	5	WGS	ena_only									
PRJEB103086				Switzerland	25	WGS	ena_only									
PRJNA733503	Crocuta crocuta	9678.0		Kenya: Masai Mara National Reserve	317	AMPLICON	pubmed	36533929.0	36533929							
PRJNA684050	Propithecus coquereli	379532.0		USA: Duke Lemur Center, Durham NC	58	AMPLICON	ena_only									
PRJNA796172	Sus scrofa	9823.0		Not collected	48	WGS	ena_only									
PRJNA984334	Mus musculus	10090.0			538	AMPLICON	pubmed	37620319.0	37620319	Fiber supplementation protects from antibiotic-induced gut microbiome dysbiosis by modulating gut redox potential.	Penumutchu S	Belenky P	Mammalia	Antibiotic-induced gut dysbiosis (AID) is a frequent and serious side effect of antibiotic use and mitigating this dysbiosis is a critical therapeutic target. We propose that the host diet can modulate the chemical environment of the gut resulting in changes to the structure and function of the microbiome during antibiotic treatment. Gut dysbiosis is typically characterized by increases in aerobic respiratory bacterial metabolism, redox potential, and abundance of Proteobacteria. In this study, we explore dietary fiber supplements as potential modulators of the chemical environment in the gut to reduce this pattern of dysbiosis. Using defined-diets and whole-genome sequencing of female murine microbiomes during diet modulation and antibiotic treatment, we find that fiber prebiotics significantly reduced the impact of antibiotic treatment on microbiome composition and function. We observe reduced abundance of aerobic bacteria as well as metabolic pathways associated with oxidative metabolism. These metatranscriptomic results are corroborated by chemical measurements of eH and pH suggesting that fiber dampens the dysbiotic effects of antibiotics. This work indicates that fiber may act as a potential therapeutic for AID by modulating bacterial metabolism in the gut to prevent an increase in redox potential and protect commensal microbes during antibiotic treatment.		Nature communications
PRJEB81554	Mus musculus	10090.0	UBERON:feces	USA;USA:CA:Pasadena	476	WGS	ena_only									
PRJEB60032	Sus scrofa	9823.0		France	882	AMPLICON	pubmed	38943206.0	38943206	Driving gut microbiota enterotypes through host genetics.	Larzul C	Rogel-Gaillard C	Mammalia	BACKGROUND: Population stratification based on interindividual variability in gut microbiota composition has revealed the existence of several ecotypes named enterotypes in humans and various animal species. Enterotypes are often associated with environmental factors including diet, but knowledge of the role of host genetics remains scarce. Moreover, enterotypes harbor functionalities likely associated with varying abilities and susceptibilities of their host. Previously, we showed that under controlled conditions, 60-day-old pig populations consistently split into two enterotypes with either Prevotella and Mitsuokella (PM enterotype) or Ruminococcus and Treponema (RT enterotype) as keystone taxa. Here, our aim was to rely on pig as a model to study the influence of host genetics to assemble enterotypes, and to provide clues on enterotype functional differences and their links with growth traits. RESULTS: We established two pig lines contrasted for abundances of the genera pairs specifying each enterotype at 60 days of age and assessed them for fecal microbiota composition and growth throughout three consecutive generations. Response to selection across three generations revealed, per line, an increase in the prevalence of the selected enterotype and in the average relative abundances of directly and indirectly selected bacterial genera. The PM enterotype was found less diverse than the RT enterotype but more efficient for piglet growth during the post-weaning period. Shotgun metagenomics revealed differentially abundant bacterial species between the two enterotypes. By using the KEGG Orthology database, we show that functions related to starch degradation and polysaccharide metabolism are enriched in the PM enterotype, whereas functions related to general nucleoside transport and peptide/nickel transport are enriched in the RT enterotype. Our results also suggest that the PM and RT enterotypes might differ in the metabolism of valine, leucin, and isoleucine, favoring their biosynthesis and degradation, respectively. CONCLUSION: We experimentally demonstrated that enterotypes are functional ecosystems that can be selected as a whole by exerting pressure on the host genetics. We also highlight that holobionts should be considered as units of selection in breeding programs. These results pave the way for a holistic use of host genetics, microbiota diversity, and enterotype functionalities to understand holobiont shaping and adaptation. Video Abstract.		Microbiome
PRJDB8987	Macaca fuscata	9542.0		Japan	27	AMPLICON	ena_only									
